Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:37:56.599,Quaker Bot Long Strafes,MGV2,4.698000s,3560,1000,0.280899,99.999046,712.025024,0.140443,0,250
2,16:37:59.718,Quaker Bot Long Strafes,MGV2,2.772000s,2090,1100,0.526316,109.998894,418.007111,0.263151,0,250
3,16:38:02.093,Quaker Bot Long Strafes,MGV2,2.029000s,1530,900,0.588235,89.999199,306.000275,0.294115,0,250
4,16:38:05.252,Quaker Bot Long Strafes,MGV2,2.812000s,2120,1000,0.471698,99.999046,424.007477,0.235843,0,250
5,16:38:08.228,Quaker Bot Long Strafes,MGV2,2.629000s,1980,1000,0.505050,99.999046,396.005768,0.252519,0,250
6,16:38:11.439,Quaker Bot Long Strafes,MGV2,2.866000s,2160,1000,0.462963,99.999046,432.007965,0.231475,0,250
7,16:38:13.908,Quaker Bot Long Strafes,MGV2,2.121000s,1600,1000,0.625000,99.999046,320.001129,0.312496,0,250
8,16:38:16.880,Quaker Bot Long Strafes,MGV2,2.624000s,1980,1000,0.505050,99.999046,396.005768,0.252519,0,250
9,16:38:20.189,Quaker Bot Long Strafes,MGV2,2.960000s,2230,1000,0.448430,99.999046,446.008820,0.224209,0,250
10,16:38:23.293,Quaker Bot Long Strafes,MGV2,2.762000s,2080,1000,0.480769,99.999046,416.006989,0.240378,0,250
11,16:38:25.670,Quaker Bot Long Strafes,MGV2,2.028000s,1530,1000,0.653595,99.999046,306.000275,0.326794,0,250
12,16:38:28.790,Quaker Bot Long Strafes,MGV2,2.775000s,2090,1000,0.478469,99.999046,418.007111,0.239228,0,250
13,16:38:31.730,Quaker Bot Long Strafes,MGV2,2.616000s,1970,1000,0.507614,99.999046,394.005646,0.253801,0,230
14,16:38:34.384,Quaker Bot Long Strafes,MGV2,2.319000s,1750,1000,0.571429,99.999046,350.002960,0.285709,0,250
15,16:38:37.758,Quaker Bot Long Strafes,MGV2,3.024000s,2280,1000,0.438596,99.999046,456.009430,0.219292,0,250
16,16:38:40.812,Quaker Bot Long Strafes,MGV2,2.749000s,2070,1000,0.483092,99.999046,414.006866,0.241540,0,210
17,16:38:42.917,Quaker Bot Long Strafes,MGV2,1.828000s,1380,1000,0.724638,99.999046,275.998444,0.362317,0,200
18,16:38:45.083,Quaker Bot Long Strafes,MGV2,1.829000s,1380,1000,0.724638,99.999046,275.998444,0.362317,0,250
19,16:38:47.161,Quaker Bot Long Strafes,MGV2,1.733000s,1310,1000,0.763359,99.999046,261.997589,0.381679,0,250
20,16:38:49.535,Quaker Bot Long Strafes,MGV2,2.026000s,1530,1000,0.653595,99.999046,306.000275,0.326794,0,250
21,16:38:52.198,Quaker Bot Long Strafes,MGV2,2.318000s,1750,1000,0.571429,99.999046,350.002960,0.285709,0,250
22,16:38:55.184,Quaker Bot Long Strafes,MGV2,2.721000s,2050,1000,0.487805,99.999046,410.006622,0.243896,0,180
23,16:38:57.441,Quaker Bot Long Strafes,MGV2,1.920000s,1450,1000,0.689655,99.999046,289.999298,0.344825,0,250
24,16:39:00.336,Quaker Bot Long Strafes,MGV2,2.546000s,1920,1000,0.520833,99.999046,384.005035,0.260411,0,250
25,16:39:03.205,Quaker Bot Long Strafes,MGV2,2.523000s,1900,1000,0.526316,99.999046,380.004791,0.263152,0,250
26,16:39:06.562,Quaker Bot Long Strafes,MGV2,3.013000s,2270,1000,0.440529,99.999046,454.009308,0.220258,0,250
27,16:39:09.532,Quaker Bot Long Strafes,MGV2,2.947000s,2220,1000,0.450450,99.999046,444.008698,0.225219,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MGV2,53690,27980,2798.37915,10743.779297,

Kills:,27
Deaths:,0
Fight Time:,69.188004
Time Remaining:,0.0
Avg TTK:,3.950625
Damage Done:,2798.37915
Total Overshots:,6320
Damage Taken:,0.0
Hit Count:,27980
Miss Count:,25710
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,8395.137695
Scenario:,kinTargetSwitch No Reload SLOW MORE HEALTH
Hash:,e8a9299c820f93afcc5d9a43e84233d6
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,16:37:51.556
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,320.78006
Resolution Scale:,100.0
