Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:39:23.514,Quaker Bot Long Strafes,MGV2,2.855000s,2180,1000,0.458716,99.999046,436.008209,0.229351,0,250
2,16:39:25.930,Quaker Bot Long Strafes,MGV2,2.067000s,1560,1000,0.641026,99.999046,312.000641,0.320509,0,250
3,16:39:28.207,Quaker Bot Long Strafes,MGV2,1.931000s,1460,1000,0.684932,99.999046,291.999420,0.342463,0,250
4,16:39:31.090,Quaker Bot Long Strafes,MGV2,2.534000s,1910,1000,0.523560,99.999046,382.004913,0.261774,0,250
5,16:39:33.278,Quaker Bot Long Strafes,MGV2,1.839000s,1390,1000,0.719424,99.999046,277.998566,0.359711,0,250
6,16:39:36.330,Quaker Bot Long Strafes,MGV2,2.710000s,2040,1000,0.490196,99.999046,408.006500,0.245092,0,250
7,16:39:38.488,Quaker Bot Long Strafes,MGV2,1.810000s,1370,1000,0.729927,99.999046,273.998322,0.364962,0,250
8,16:39:41.891,Quaker Bot Long Strafes,MGV2,3.056000s,2300,1120,0.486957,111.998863,460.009674,0.243471,0,250
9,16:39:44.438,Quaker Bot Long Strafes,MGV2,2.200000s,1660,930,0.560241,92.999153,332.001862,0.280116,0,250
10,16:39:46.906,Quaker Bot Long Strafes,MGV2,2.122000s,1600,950,0.593750,94.999123,320.001129,0.296871,0,250
11,16:39:49.168,Quaker Bot Long Strafes,MGV2,1.919000s,1450,1000,0.689655,99.999046,289.999298,0.344825,0,250
12,16:39:51.917,Quaker Bot Long Strafes,MGV2,2.401000s,1810,1000,0.552486,99.999046,362.003693,0.276238,0,250
13,16:39:55.033,Quaker Bot Long Strafes,MGV2,2.831000s,2130,1000,0.469484,99.999046,426.007599,0.234735,0,200
14,16:39:57.847,Quaker Bot Long Strafes,MGV2,2.479000s,1870,1000,0.534759,99.999046,374.004425,0.267374,0,250
15,16:40:00.222,Quaker Bot Long Strafes,MGV2,2.029000s,1530,1000,0.653595,99.999046,306.000275,0.326794,0,250
16,16:40:02.835,Quaker Bot Long Strafes,MGV2,2.265000s,1710,1000,0.584795,99.999046,342.002472,0.292393,0,250
17,16:40:05.771,Quaker Bot Long Strafes,MGV2,2.587000s,1950,1000,0.512821,99.999046,390.005402,0.256404,0,250
18,16:40:08.253,Quaker Bot Long Strafes,MGV2,2.136000s,1610,1000,0.621118,99.999046,322.001251,0.310555,0,250
19,16:40:10.647,Quaker Bot Long Strafes,MGV2,2.134000s,1610,1000,0.621118,99.999046,322.001251,0.310555,0,180
20,16:40:12.661,Quaker Bot Long Strafes,MGV2,1.679000s,1270,1000,0.787402,99.999046,253.997269,0.393701,0,250
21,16:40:15.474,Quaker Bot Long Strafes,MGV2,2.481000s,1870,1140,0.609626,113.998833,374.004425,0.304806,0,230
22,16:40:17.411,Quaker Bot Long Strafes,MGV2,1.602000s,1210,860,0.710744,85.999260,241.997452,0.355373,0,250
23,16:40:19.812,Quaker Bot Long Strafes,MGV2,2.053000s,1550,1000,0.645161,99.999046,310.000519,0.322577,0,250
24,16:40:22.835,Quaker Bot Long Strafes,MGV2,2.679000s,2020,1000,0.495050,99.999046,404.006256,0.247519,0,250
25,16:40:25.693,Quaker Bot Long Strafes,MGV2,2.507000s,1890,1000,0.529101,99.999046,378.004669,0.264544,0,250
26,16:40:28.185,Quaker Bot Long Strafes,MGV2,2.147000s,1620,1000,0.617284,99.999046,324.001373,0.308638,0,250
27,16:40:30.439,Quaker Bot Long Strafes,MGV2,1.908000s,1440,1000,0.694444,99.999046,287.999176,0.347220,0,250
28,16:40:32.809,Quaker Bot Long Strafes,MGV2,2.026000s,1530,1000,0.653595,99.999046,306.000275,0.326794,0,250
29,16:40:34.944,Quaker Bot Long Strafes,MGV2,1.787000s,1350,1000,0.740741,99.999046,269.998077,0.370369,0,250
30,16:40:37.608,Quaker Bot Long Strafes,MGV2,2.356000s,1780,1000,0.561798,99.999046,356.003326,0.280894,0,210
31,16:40:39.661,Quaker Bot Long Strafes,MGV2,1.719000s,1300,1000,0.769231,99.999046,259.997467,0.384615,0,250

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MGV2,52440,31080,3108.681885,10493.535156,

Kills:,31
Deaths:,0
Fight Time:,68.849998
Time Remaining:,0.0
Avg TTK:,3.440867
Damage Done:,3108.681885
Total Overshots:,7570
Damage Taken:,0.0
Hit Count:,31080
Miss Count:,21360
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,9326.045898
Scenario:,kinTargetSwitch No Reload SLOW MORE HEALTH
Hash:,e8a9299c820f93afcc5d9a43e84233d6
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,16:39:20.313
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,318.953217
Resolution Scale:,100.0
