Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:40:50.497,Quaker Bot Long Strafes,MGV2,2.884000s,2200,1000,0.454545,99.999046,440.008453,0.227266,0,250
2,16:40:52.790,Quaker Bot Long Strafes,MGV2,1.950000s,1470,1000,0.680272,99.999046,293.999542,0.340133,0,250
3,16:40:54.923,Quaker Bot Long Strafes,MGV2,1.786000s,1350,1000,0.740741,99.999046,269.998077,0.370369,0,250
4,16:40:57.602,Quaker Bot Long Strafes,MGV2,2.329000s,1760,1000,0.568182,99.999046,352.003082,0.284086,0,250
5,16:41:00.415,Quaker Bot Long Strafes,MGV2,2.464000s,1860,1000,0.537634,99.999046,372.004303,0.268812,0,250
6,16:41:03.323,Quaker Bot Long Strafes,MGV2,2.562000s,1930,1000,0.518135,99.999046,386.005157,0.259061,0,250
7,16:41:05.294,Quaker Bot Long Strafes,MGV2,1.691000s,1280,1000,0.781250,99.999046,255.997238,0.390625,0,190
8,16:41:07.189,Quaker Bot Long Strafes,MGV2,1.559000s,1180,1000,0.847458,99.999046,235.997543,0.423729,0,250
9,16:41:10.253,Quaker Bot Long Strafes,MGV2,2.718000s,2050,1000,0.487805,99.999046,410.006622,0.243896,0,250
10,16:41:12.338,Quaker Bot Long Strafes,MGV2,1.736000s,1310,1000,0.763359,99.999046,261.997589,0.381679,0,250
11,16:41:15.148,Quaker Bot Long Strafes,MGV2,2.468000s,1860,1000,0.537634,99.999046,372.004303,0.268812,0,250
12,16:41:17.256,Quaker Bot Long Strafes,MGV2,1.758000s,1330,1000,0.751880,99.999046,265.997833,0.375939,0,250
13,16:41:20.002,Quaker Bot Long Strafes,MGV2,2.398000s,1810,1000,0.552486,99.999046,362.003693,0.276238,0,250
14,16:41:22.736,Quaker Bot Long Strafes,MGV2,2.384000s,1800,1000,0.555556,99.999046,360.003571,0.277772,0,250
15,16:41:25.826,Quaker Bot Long Strafes,MGV2,2.744000s,2070,1000,0.483092,99.999046,414.006866,0.241540,0,250
16,16:41:28.386,Quaker Bot Long Strafes,MGV2,2.214000s,1670,1000,0.598802,99.999046,334.001984,0.299397,0,250
17,16:41:31.083,Quaker Bot Long Strafes,MGV2,2.343000s,1770,1000,0.564972,99.999046,354.003204,0.282481,0,250
18,16:41:34.098,Quaker Bot Long Strafes,MGV2,2.666000s,2010,1000,0.497512,99.999046,402.006134,0.248750,0,250
19,16:41:37.052,Quaker Bot Long Strafes,MGV2,2.652000s,2000,1000,0.500000,99.999046,400.006012,0.249994,0,210
20,16:41:38.934,Quaker Bot Long Strafes,MGV2,1.614000s,1220,1000,0.819672,99.999046,243.997421,0.409837,0,190
21,16:41:41.096,Quaker Bot Long Strafes,MGV2,1.825000s,1380,1000,0.724638,99.999046,275.998444,0.362317,0,250
22,16:41:44.720,Quaker Bot Long Strafes,MGV2,3.277000s,2470,1000,0.404858,99.999046,494.011749,0.202422,0,250
23,16:41:47.332,Quaker Bot Long Strafes,MGV2,2.292000s,1730,1000,0.578035,99.999046,346.002716,0.289012,0,220
24,16:41:50.056,Quaker Bot Long Strafes,MGV2,2.390000s,1800,1000,0.555556,99.999046,360.003571,0.277772,0,250
25,16:41:52.855,Quaker Bot Long Strafes,MGV2,2.456000s,1820,1000,0.549451,99.999046,364.003815,0.274720,0,250
26,16:41:54.995,Quaker Bot Long Strafes,MGV2,1.792000s,1350,1000,0.740741,99.999046,269.998077,0.370369,0,250
27,16:41:57.514,Quaker Bot Long Strafes,MGV2,2.173000s,1640,1000,0.609756,99.999046,328.001617,0.304874,0,250
28,16:42:00.484,Quaker Bot Long Strafes,MGV2,2.628000s,1980,1000,0.505050,99.999046,396.005768,0.252519,0,250
29,16:42:03.391,Quaker Bot Long Strafes,MGV2,2.561000s,1930,1010,0.523316,100.999031,386.005157,0.261652,0,250
30,16:42:05.725,Quaker Bot Long Strafes,MGV2,1.987000s,1500,990,0.660000,98.999062,299.999908,0.329997,0,250

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MGV2,52660,30930,3093.667236,10537.578125,

Kills:,30
Deaths:,0
Fight Time:,68.302002
Time Remaining:,0.0
Avg TTK:,3.555562
Damage Done:,3093.667236
Total Overshots:,7310
Damage Taken:,0.0
Hit Count:,30930
Miss Count:,21730
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,9281.001953
Scenario:,kinTargetSwitch No Reload SLOW MORE HEALTH
Hash:,e8a9299c820f93afcc5d9a43e84233d6
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,16:40:47.265
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,319.965332
Resolution Scale:,100.0
