Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,12:08:00.104,Quaker Bot,LG,4.908000s,108,34,0.314815,204.000000,648.000000,0.314815,0,5
2,12:08:05.811,Quaker Bot,LG,5.428000s,119,34,0.285714,204.000000,714.000000,0.285714,0,5
3,12:08:13.026,Quaker Bot,LG,6.939000s,151,34,0.225166,204.000000,906.000000,0.225166,0,5
4,12:08:19.052,Quaker Bot,LG,5.748000s,126,34,0.269841,204.000000,756.000000,0.269841,0,5
5,12:08:23.505,Quaker Bot,LG,4.180000s,91,34,0.373626,204.000000,546.000000,0.373626,0,5
6,12:08:29.390,Quaker Bot,LG,5.606000s,122,34,0.278689,204.000000,732.000000,0.278689,0,5
7,12:08:35.254,Quaker Bot,LG,5.594000s,122,34,0.278689,204.000000,732.000000,0.278689,0,5
8,12:08:41.651,Quaker Bot,LG,6.120000s,133,34,0.255639,204.000000,798.000000,0.255639,0,5
9,12:08:51.631,Quaker Bot,LG,9.705001s,212,34,0.160377,204.000000,1272.000000,0.160377,0,5
10,12:08:57.244,Quaker Bot,LG,5.337000s,117,34,0.290598,204.000000,702.000000,0.290598,0,5
11,12:09:02.948,Quaker Bot,LG,5.428000s,119,34,0.285714,204.000000,714.000000,0.285714,0,5
12,12:09:09.667,Quaker Bot,LG,6.442000s,141,34,0.241135,204.000000,846.000000,0.241135,0,5
13,12:09:16.276,Quaker Bot,LG,6.336000s,138,34,0.246377,204.000000,828.000000,0.246377,0,5
14,12:09:21.519,Quaker Bot,LG,4.968000s,109,34,0.311927,204.000000,654.000000,0.311927,0,5
15,12:09:27.107,Quaker Bot,LG,5.312000s,116,34,0.293103,204.000000,696.000000,0.293103,0,5
16,12:09:32.503,Quaker Bot,LG,5.125000s,112,34,0.303571,204.000000,672.000000,0.303571,0,5
17,12:09:37.492,Quaker Bot,LG,4.712000s,103,34,0.330097,204.000000,618.000000,0.330097,0,5
18,12:09:43.197,Quaker Bot,LG,5.433000s,119,34,0.285714,204.000000,714.000000,0.285714,0,5
19,12:09:52.623,Quaker Bot,LG,9.153001s,200,34,0.170000,204.000000,1200.000000,0.170000,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,2508,649,3894.0,15048.0,

Kills:,19
Deaths:,0
Fight Time:,112.473999
Time Remaining:,0.0
Avg TTK:,6.315723
Damage Done:,3894.0
Total Overshots:,95
Damage Taken:,0.0
Hit Count:,649
Miss Count:,1859
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,105081.90625
MBS Points:,10000.0
Score:,21682.0
Scenario:,lgc3 Reborn Easy
Hash:,dc7890664488d19cd468af320c5dc749
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,12:07:54.939
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,241.84581
Resolution Scale:,100.0
