Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,12:10:10.373,Quaker Bot,LG,4.045000s,88,34,0.386364,204.000000,528.000000,0.386364,0,5
2,12:10:17.503,Quaker Bot,LG,6.854000s,150,34,0.226667,204.000000,900.000000,0.226667,0,5
3,12:10:22.960,Quaker Bot,LG,5.183000s,113,34,0.300885,204.000000,678.000000,0.300885,0,5
4,12:10:30.324,Quaker Bot,LG,7.086000s,155,34,0.219355,204.000000,930.000000,0.219355,0,5
5,12:10:37.314,Quaker Bot,LG,6.717000s,147,34,0.231293,204.000000,882.000000,0.231293,0,5
6,12:10:42.870,Quaker Bot,LG,5.278000s,115,34,0.295652,204.000000,690.000000,0.295652,0,5
7,12:10:47.332,Quaker Bot,LG,4.187000s,92,34,0.369565,204.000000,552.000000,0.369565,0,5
8,12:10:52.589,Quaker Bot,LG,5.016000s,110,34,0.309091,204.000000,660.000000,0.309091,0,4
9,12:10:57.648,Quaker Bot,LG,4.782000s,105,34,0.323810,204.000000,630.000000,0.323810,0,5
10,12:11:02.540,Quaker Bot,LG,4.615000s,101,34,0.336634,204.000000,606.000000,0.336634,0,5
11,12:11:08.658,Quaker Bot,LG,5.840000s,128,34,0.265625,204.000000,768.000000,0.265625,0,5
12,12:11:15.836,Quaker Bot,LG,6.902000s,151,34,0.225166,204.000000,906.000000,0.225166,0,5
13,12:11:21.130,Quaker Bot,LG,5.019000s,109,34,0.311927,204.000000,654.000000,0.311927,0,5
14,12:11:26.416,Quaker Bot,LG,5.016000s,110,34,0.309091,204.000000,660.000000,0.309091,0,5
15,12:11:32.858,Quaker Bot,LG,6.164001s,135,34,0.251852,204.000000,810.000000,0.251852,0,5
16,12:11:38.391,Quaker Bot,LG,5.255000s,115,34,0.295652,204.000000,690.000000,0.295652,0,5
17,12:11:45.968,Quaker Bot,LG,7.299000s,159,34,0.213836,204.000000,954.000000,0.213836,0,5
18,12:11:53.379,Quaker Bot,LG,7.140000s,156,34,0.217949,204.000000,936.000000,0.217949,0,5
19,12:12:00.237,Quaker Bot,LG,6.580000s,144,34,0.236111,204.000000,864.000000,0.236111,0,5
20,12:12:05.823,Quaker Bot,LG,5.313000s,103,34,0.330097,204.000000,618.000000,0.330097,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,2491,680,4080.0,14946.0,

Kills:,20
Deaths:,0
Fight Time:,114.291
Time Remaining:,0.0
Avg TTK:,5.999937
Damage Done:,4080.0
Total Overshots:,99
Damage Taken:,0.0
Hit Count:,680
Miss Count:,1811
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,107348.539062
MBS Points:,10000.0
Score:,22240.0
Scenario:,lgc3 Reborn Easy
Hash:,dc7890664488d19cd468af320c5dc749
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,12:10:06.071
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,241.245422
Resolution Scale:,100.0
