Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,12:13:28.081,Quaker Bot,LG,3.668000s,81,34,0.419753,204.000000,486.000000,0.419753,0,5
2,12:13:34.685,Quaker Bot,LG,6.331000s,138,34,0.246377,204.000000,828.000000,0.246377,0,5
3,12:13:41.212,Quaker Bot,LG,6.252000s,135,34,0.251852,204.000000,810.000000,0.251852,0,5
4,12:13:48.951,Quaker Bot,LG,7.463000s,163,34,0.208589,204.000000,978.000000,0.208589,0,5
5,12:13:56.031,Quaker Bot,LG,6.811000s,149,34,0.228188,204.000000,894.000000,0.228188,0,5
6,12:14:02.014,Quaker Bot,LG,5.705000s,125,34,0.272000,204.000000,750.000000,0.272000,0,5
7,12:14:08.601,Quaker Bot,LG,6.312000s,138,34,0.246377,204.000000,828.000000,0.246377,0,5
8,12:14:13.647,Quaker Bot,LG,4.770000s,103,34,0.330097,204.000000,618.000000,0.330097,0,5
9,12:14:19.923,Quaker Bot,LG,5.997000s,129,34,0.263566,204.000000,774.000000,0.263566,0,5
10,12:14:25.371,Quaker Bot,LG,5.176000s,113,34,0.300885,204.000000,678.000000,0.300885,0,5
11,12:14:33.514,Quaker Bot,LG,7.867001s,172,34,0.197674,204.000000,1032.000000,0.197674,0,5
12,12:14:38.711,Quaker Bot,LG,4.924000s,108,34,0.314815,204.000000,648.000000,0.314815,0,5
13,12:14:44.735,Quaker Bot,LG,5.745000s,125,34,0.272000,204.000000,750.000000,0.272000,0,5
14,12:14:51.822,Quaker Bot,LG,6.815001s,148,34,0.229730,204.000000,888.000000,0.229730,0,5
15,12:15:01.110,Quaker Bot,LG,9.017000s,197,34,0.172589,204.000000,1182.000000,0.172589,0,5
16,12:15:06.842,Quaker Bot,LG,5.455000s,119,34,0.285714,204.000000,714.000000,0.285714,0,5
17,12:15:10.990,Quaker Bot,LG,3.871000s,84,34,0.404762,204.000000,504.000000,0.404762,0,5
18,12:15:20.022,Quaker Bot,LG,8.749001s,190,34,0.178947,204.000000,1140.000000,0.178947,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,2507,629,3774.0,15042.0,

Kills:,18
Deaths:,0
Fight Time:,110.928001
Time Remaining:,0.0
Avg TTK:,6.666597
Damage Done:,3774.0
Total Overshots:,90
Damage Taken:,0.0
Hit Count:,629
Miss Count:,1878
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,110455.046875
MBS Points:,10000.0
Score:,21322.0
Scenario:,lgc3 Reborn Easy
Hash:,dc7890664488d19cd468af320c5dc749
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,12:13:24.153
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,240.611816
Resolution Scale:,100.0
