Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,13:58:49.162,Quaker Bot Long Strafes,MG,0.706000s,750,200,0.266667,100.000000,375.000000,0.266667,0,250
2,13:58:50.100,Quaker Bot Long Strafes,MG,0.679000s,690,200,0.289855,100.000000,345.000000,0.289855,0,250
3,13:58:50.790,Quaker Bot Long Strafes,MG,0.431000s,440,200,0.454545,100.000000,220.000000,0.454545,0,240
4,13:58:51.402,Quaker Bot Long Strafes,MG,0.359000s,370,200,0.540541,100.000000,185.000000,0.540541,0,250
5,13:58:52.204,Quaker Bot Long Strafes,MG,0.541000s,550,200,0.363636,100.000000,275.000000,0.363636,0,250
6,13:58:53.168,Quaker Bot Long Strafes,MG,0.710000s,720,200,0.277778,100.000000,360.000000,0.277778,0,250
7,13:58:53.620,Quaker Bot Long Strafes,MG,0.188000s,200,200,1.000000,100.000000,100.000000,1.000000,0,250
8,13:58:54.131,Quaker Bot Long Strafes,MG,0.251000s,260,200,0.769231,100.000000,130.000000,0.769231,0,250
9,13:58:55.113,Quaker Bot Long Strafes,MG,0.721000s,730,200,0.273973,100.000000,365.000000,0.273973,0,250
10,13:58:55.839,Quaker Bot Long Strafes,MG,0.468000s,480,200,0.416667,100.000000,240.000000,0.416667,0,250
11,13:58:56.800,Quaker Bot Long Strafes,MG,0.699000s,710,200,0.281690,100.000000,355.000000,0.281690,0,250
12,13:58:57.662,Quaker Bot Long Strafes,MG,0.602000s,610,200,0.327869,100.000000,305.000000,0.327869,0,250
13,13:58:58.233,Quaker Bot Long Strafes,MG,0.310000s,320,200,0.625000,100.000000,160.000000,0.625000,0,250
14,13:58:59.063,Quaker Bot Long Strafes,MG,0.572000s,580,200,0.344828,100.000000,290.000000,0.344828,0,250
15,13:58:59.802,Quaker Bot Long Strafes,MG,0.477000s,490,200,0.408163,100.000000,245.000000,0.408163,0,250
16,13:59:00.743,Quaker Bot Long Strafes,MG,0.681000s,690,200,0.289855,100.000000,345.000000,0.289855,0,250
17,13:59:01.860,Quaker Bot Long Strafes,MG,0.860000s,870,200,0.229885,100.000000,435.000000,0.229885,0,250
18,13:59:02.490,Quaker Bot Long Strafes,MG,0.378000s,390,200,0.512821,100.000000,195.000000,0.512821,0,230
19,13:59:03.012,Quaker Bot Long Strafes,MG,0.269000s,280,200,0.714286,100.000000,140.000000,0.714286,0,250
20,13:59:03.603,Quaker Bot Long Strafes,MG,0.331000s,340,200,0.588235,100.000000,170.000000,0.588235,0,250
21,13:59:04.269,Quaker Bot Long Strafes,MG,0.411000s,420,200,0.476190,100.000000,210.000000,0.476190,0,250
22,13:59:05.022,Quaker Bot Long Strafes,MG,0.490000s,500,200,0.400000,100.000000,250.000000,0.400000,0,250
23,13:59:05.900,Quaker Bot Long Strafes,MG,0.618000s,630,200,0.317460,100.000000,315.000000,0.317460,0,250
24,13:59:06.794,Quaker Bot Long Strafes,MG,0.633000s,640,200,0.312500,100.000000,320.000000,0.312500,0,250
25,13:59:07.630,Quaker Bot Long Strafes,MG,0.600000s,610,200,0.327869,100.000000,305.000000,0.327869,0,220
26,13:59:08.181,Quaker Bot Long Strafes,MG,0.299000s,310,200,0.645161,100.000000,155.000000,0.645161,0,250
27,13:59:08.894,Quaker Bot Long Strafes,MG,0.451000s,460,200,0.434783,100.000000,230.000000,0.434783,0,250
28,13:59:09.814,Quaker Bot Long Strafes,MG,0.664000s,670,200,0.298507,100.000000,335.000000,0.298507,0,250
29,13:59:10.512,Quaker Bot Long Strafes,MG,0.441000s,450,200,0.444444,100.000000,225.000000,0.444444,0,250
30,13:59:11.332,Quaker Bot Long Strafes,MG,0.558000s,570,200,0.350877,100.000000,285.000000,0.350877,0,250
31,13:59:12.029,Quaker Bot Long Strafes,MG,0.440000s,450,200,0.444444,100.000000,225.000000,0.444444,0,250
32,13:59:12.913,Quaker Bot Long Strafes,MG,0.621000s,630,200,0.317460,100.000000,315.000000,0.317460,0,250
33,13:59:13.413,Quaker Bot Long Strafes,MG,0.240000s,250,200,0.800000,100.000000,125.000000,0.800000,0,250
34,13:59:14.103,Quaker Bot Long Strafes,MG,0.432000s,440,200,0.454545,100.000000,220.000000,0.454545,0,250
35,13:59:14.652,Quaker Bot Long Strafes,MG,0.288000s,300,200,0.666667,100.000000,150.000000,0.666667,0,250
36,13:59:15.290,Quaker Bot Long Strafes,MG,0.378000s,390,200,0.512821,100.000000,195.000000,0.512821,0,250
37,13:59:16.231,Quaker Bot Long Strafes,MG,0.681000s,690,200,0.289855,100.000000,345.000000,0.289855,0,250
38,13:59:16.793,Quaker Bot Long Strafes,MG,0.303000s,310,200,0.645161,100.000000,155.000000,0.645161,0,250
39,13:59:17.911,Quaker Bot Long Strafes,MG,0.861000s,870,200,0.229885,100.000000,435.000000,0.229885,0,250
40,13:59:18.371,Quaker Bot Long Strafes,MG,0.201000s,210,200,0.952381,100.000000,105.000000,0.952381,0,250
41,13:59:19.050,Quaker Bot Long Strafes,MG,0.422000s,430,200,0.465116,100.000000,215.000000,0.465116,0,250
42,13:59:19.709,Quaker Bot Long Strafes,MG,0.401000s,410,200,0.487805,100.000000,205.000000,0.487805,0,250
43,13:59:20.849,Quaker Bot Long Strafes,MG,0.877000s,890,200,0.224719,100.000000,445.000000,0.224719,0,250
44,13:59:21.563,Quaker Bot Long Strafes,MG,0.449000s,460,200,0.434783,100.000000,230.000000,0.434783,0,250
45,13:59:22.634,Quaker Bot Long Strafes,MG,0.813000s,820,200,0.243902,100.000000,410.000000,0.243902,0,250
46,13:59:23.410,Quaker Bot Long Strafes,MG,0.521000s,530,200,0.377358,100.000000,265.000000,0.377358,0,250
47,13:59:24.372,Quaker Bot Long Strafes,MG,0.702000s,710,200,0.281690,100.000000,355.000000,0.281690,0,250
48,13:59:24.952,Quaker Bot Long Strafes,MG,0.321000s,330,200,0.606061,100.000000,165.000000,0.606061,0,250
49,13:59:25.714,Quaker Bot Long Strafes,MG,0.498000s,510,200,0.392157,100.000000,255.000000,0.392157,0,250
50,13:59:26.652,Quaker Bot Long Strafes,MG,0.681000s,690,200,0.289855,100.000000,345.000000,0.289855,0,250
51,13:59:27.494,Quaker Bot Long Strafes,MG,0.579000s,590,200,0.338983,100.000000,295.000000,0.338983,0,250
52,13:59:28.090,Quaker Bot Long Strafes,MG,0.341000s,350,200,0.571429,100.000000,175.000000,0.571429,0,250
53,13:59:28.704,Quaker Bot Long Strafes,MG,0.352000s,360,200,0.555556,100.000000,180.000000,0.555556,0,250
54,13:59:29.514,Quaker Bot Long Strafes,MG,0.551000s,560,200,0.357143,100.000000,280.000000,0.357143,0,250
