Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:16:53.024,Quaker Bot Long Strafes,MG,0.416000s,7,4,0.571429,1.000000,1.750000,0.571429,0,3
2,17:16:53.794,Quaker Bot Long Strafes,MG,0.491000s,8,4,0.500000,1.000000,2.000000,0.500000,0,3
3,17:16:54.847,Quaker Bot Long Strafes,MG,0.773000s,12,4,0.333333,1.000000,3.000000,0.333333,0,3
4,17:16:55.757,Quaker Bot Long Strafes,MG,0.628000s,10,4,0.400000,1.000000,2.500000,0.400000,0,3
5,17:16:56.526,Quaker Bot Long Strafes,MG,0.489000s,8,4,0.500000,1.000000,2.000000,0.500000,0,3
6,17:16:57.159,Quaker Bot Long Strafes,MG,0.351000s,6,4,0.666667,1.000000,1.500000,0.666667,0,3
7,17:16:57.783,Quaker Bot Long Strafes,MG,0.346000s,6,4,0.666667,1.000000,1.500000,0.666667,0,3
8,17:16:58.836,Quaker Bot Long Strafes,MG,0.770000s,12,4,0.333333,1.000000,3.000000,0.333333,0,3
9,17:16:59.327,Quaker Bot Long Strafes,MG,0.212000s,4,4,1.000000,1.000000,1.000000,1.000000,0,3
10,17:17:00.447,Quaker Bot Long Strafes,MG,0.842000s,13,4,0.307692,1.000000,3.250000,0.307692,0,3
11,17:17:01.007,Quaker Bot Long Strafes,MG,0.282000s,5,4,0.800000,1.000000,1.250000,0.800000,0,3
12,17:17:01.874,Quaker Bot Long Strafes,MG,0.627000s,10,4,0.400000,1.000000,2.500000,0.400000,0,2
13,17:17:02.618,Quaker Bot Long Strafes,MG,0.487000s,8,4,0.500000,1.000000,2.000000,0.500000,0,3
14,17:17:03.179,Quaker Bot Long Strafes,MG,0.282000s,5,4,0.800000,1.000000,1.250000,0.800000,0,3
15,17:17:03.807,Quaker Bot Long Strafes,MG,0.352000s,6,4,0.666667,1.000000,1.500000,0.666667,0,3
16,17:17:04.394,Quaker Bot Long Strafes,MG,0.349000s,6,4,0.666667,1.000000,1.500000,0.666667,0,2
17,17:17:04.859,Quaker Bot Long Strafes,MG,0.210000s,4,4,1.000000,1.000000,1.000000,1.000000,0,3
18,17:17:05.766,Quaker Bot Long Strafes,MG,0.627000s,10,4,0.400000,1.000000,2.500000,0.400000,0,3
19,17:17:06.606,Quaker Bot Long Strafes,MG,0.558000s,9,4,0.444444,1.000000,2.250000,0.444444,0,3
20,17:17:07.937,Quaker Bot Long Strafes,MG,1.048000s,16,6,0.375000,1.500000,4.000000,0.375000,0,3
21,17:17:08.358,Quaker Bot Long Strafes,MG,0.140000s,3,2,0.666667,0.500000,0.750000,0.666667,0,3
22,17:17:09.336,Quaker Bot Long Strafes,MG,0.699000s,11,4,0.363636,1.000000,2.750000,0.363636,0,3
23,17:17:10.108,Quaker Bot Long Strafes,MG,0.491000s,8,4,0.500000,1.000000,2.000000,0.500000,0,3
24,17:17:10.667,Quaker Bot Long Strafes,MG,0.280000s,5,4,0.800000,1.000000,1.250000,0.800000,0,3
25,17:17:11.392,Quaker Bot Long Strafes,MG,0.493000s,8,4,0.500000,1.000000,2.000000,0.500000,0,2
26,17:17:11.927,Quaker Bot Long Strafes,MG,0.281000s,5,4,0.800000,1.000000,1.250000,0.800000,0,3
