Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,13:51:37.035,Quaker Bot Long Strafes,MG,0.733000s,120,50,0.416667,80.000000,240.000000,0.333333,0,30
2,13:51:37.667,Quaker Bot Long Strafes,MG,0.350000s,60,50,0.833333,80.000000,120.000000,0.666667,0,30
3,13:51:38.180,Quaker Bot Long Strafes,MG,0.280000s,50,40,0.800000,80.000000,100.000000,0.800000,0,20
4,13:51:38.925,Quaker Bot Long Strafes,MG,0.490000s,80,40,0.500000,80.000000,160.000000,0.500000,0,30
5,13:51:39.373,Quaker Bot Long Strafes,MG,0.209000s,40,40,1.000000,70.000000,80.000000,0.875000,0,20
6,13:51:40.115,Quaker Bot Long Strafes,MG,0.490000s,80,50,0.625000,70.000000,160.000000,0.437500,0,30
7,13:51:40.744,Quaker Bot Long Strafes,MG,0.349000s,60,40,0.666667,80.000000,120.000000,0.666667,0,30
8,13:51:41.306,Quaker Bot Long Strafes,MG,0.278000s,50,50,1.000000,80.000000,100.000000,0.800000,0,30
9,13:51:42.005,Quaker Bot Long Strafes,MG,0.421000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
10,13:51:42.661,Quaker Bot Long Strafes,MG,0.419000s,70,40,0.571429,80.000000,140.000000,0.571429,0,20
11,13:51:43.120,Quaker Bot Long Strafes,MG,0.208000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
12,13:51:43.713,Quaker Bot Long Strafes,MG,0.351000s,60,40,0.666667,80.000000,120.000000,0.666667,0,20
13,13:51:44.176,Quaker Bot Long Strafes,MG,0.207000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
14,13:51:44.690,Quaker Bot Long Strafes,MG,0.277000s,50,40,0.800000,80.000000,100.000000,0.800000,0,20
15,13:51:45.225,Quaker Bot Long Strafes,MG,0.281000s,50,40,0.800000,70.000000,100.000000,0.700000,0,30
16,13:51:45.879,Quaker Bot Long Strafes,MG,0.420000s,70,40,0.571429,80.000000,140.000000,0.571429,0,20
17,13:51:46.485,Quaker Bot Long Strafes,MG,0.352000s,60,60,1.000000,70.000000,120.000000,0.583333,0,30
18,13:51:47.142,Quaker Bot Long Strafes,MG,0.420000s,70,40,0.571429,80.000000,140.000000,0.571429,0,20
19,13:51:47.674,Quaker Bot Long Strafes,MG,0.278000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
20,13:51:48.234,Quaker Bot Long Strafes,MG,0.278000s,50,50,1.000000,70.000000,100.000000,0.700000,0,30
21,13:51:48.960,Quaker Bot Long Strafes,MG,0.491000s,80,40,0.500000,80.000000,160.000000,0.500000,0,20
22,13:51:49.497,Quaker Bot Long Strafes,MG,0.283000s,50,50,1.000000,80.000000,100.000000,0.800000,0,30
23,13:51:49.987,Quaker Bot Long Strafes,MG,0.212000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
24,13:51:50.688,Quaker Bot Long Strafes,MG,0.420000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
25,13:51:51.315,Quaker Bot Long Strafes,MG,0.353000s,60,40,0.666667,80.000000,120.000000,0.666667,0,30
26,13:51:51.803,Quaker Bot Long Strafes,MG,0.207000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
27,13:51:52.362,Quaker Bot Long Strafes,MG,0.280000s,50,40,0.800000,70.000000,100.000000,0.700000,0,30
28,13:51:53.135,Quaker Bot Long Strafes,MG,0.490000s,80,40,0.500000,80.000000,160.000000,0.500000,0,30
29,13:51:53.694,Quaker Bot Long Strafes,MG,0.279000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
30,13:51:54.321,Quaker Bot Long Strafes,MG,0.348000s,60,40,0.666667,80.000000,120.000000,0.666667,0,30
31,13:51:55.094,Quaker Bot Long Strafes,MG,0.489000s,80,40,0.500000,80.000000,160.000000,0.500000,0,30
32,13:51:55.654,Quaker Bot Long Strafes,MG,0.280000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
33,13:51:56.141,Quaker Bot Long Strafes,MG,0.209000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
34,13:51:56.872,Quaker Bot Long Strafes,MG,0.489000s,80,40,0.500000,80.000000,160.000000,0.500000,0,20
35,13:51:57.332,Quaker Bot Long Strafes,MG,0.209000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
36,13:51:58.176,Quaker Bot Long Strafes,MG,0.563000s,90,40,0.444444,80.000000,180.000000,0.444444,0,30
37,13:51:58.735,Quaker Bot Long Strafes,MG,0.281000s,50,50,1.000000,80.000000,100.000000,0.800000,0,30
38,13:51:59.362,Quaker Bot Long Strafes,MG,0.347000s,60,40,0.666667,80.000000,120.000000,0.666667,0,30
39,13:52:00.135,Quaker Bot Long Strafes,MG,0.493000s,80,40,0.500000,80.000000,160.000000,0.500000,0,30
40,13:52:00.694,Quaker Bot Long Strafes,MG,0.279000s,50,40,0.800000,70.000000,100.000000,0.700000,0,30
41,13:52:01.254,Quaker Bot Long Strafes,MG,0.279000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
42,13:52:01.818,Quaker Bot Long Strafes,MG,0.283000s,50,50,1.000000,70.000000,100.000000,0.700000,0,30
43,13:52:02.378,Quaker Bot Long Strafes,MG,0.282000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
44,13:52:02.865,Quaker Bot Long Strafes,MG,0.211000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
45,13:52:03.637,Quaker Bot Long Strafes,MG,0.492000s,80,40,0.500000,80.000000,160.000000,0.500000,0,30
46,13:52:04.126,Quaker Bot Long Strafes,MG,0.210000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
47,13:52:04.964,Quaker Bot Long Strafes,MG,0.556000s,90,40,0.444444,80.000000,180.000000,0.444444,0,30
48,13:52:05.734,Quaker Bot Long Strafes,MG,0.492000s,80,40,0.500000,80.000000,160.000000,0.500000,0,30
49,13:52:06.505,Quaker Bot Long Strafes,MG,0.490000s,80,40,0.500000,80.000000,160.000000,0.500000,0,30
50,13:52:06.997,Quaker Bot Long Strafes,MG,0.213000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
51,13:52:07.626,Quaker Bot Long Strafes,MG,0.354000s,60,40,0.666667,80.000000,120.000000,0.666667,0,30
52,13:52:08.116,Quaker Bot Long Strafes,MG,0.211000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
53,13:52:08.885,Quaker Bot Long Strafes,MG,0.490000s,80,40,0.500000,80.000000,160.000000,0.500000,0,30
54,13:52:09.445,Quaker Bot Long Strafes,MG,0.280000s,50,40,0.800000,70.000000,100.000000,0.700000,0,30
55,13:52:10.075,Quaker Bot Long Strafes,MG,0.348000s,60,40,0.666667,70.000000,120.000000,0.583333,0,30
56,13:52:10.733,Quaker Bot Long Strafes,MG,0.419000s,70,40,0.571429,80.000000,140.000000,0.571429,0,20
57,13:52:11.474,Quaker Bot Long Strafes,MG,0.489000s,80,40,0.500000,70.000000,160.000000,0.437500,0,30
58,13:52:12.174,Quaker Bot Long Strafes,MG,0.421000s,70,50,0.714286,80.000000,140.000000,0.571429,0,30
59,13:52:12.666,Quaker Bot Long Strafes,MG,0.213000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
60,13:52:13.297,Quaker Bot Long Strafes,MG,0.350000s,60,40,0.666667,80.000000,120.000000,0.666667,0,30
61,13:52:14.061,Quaker Bot Long Strafes,MG,0.490000s,80,40,0.500000,80.000000,160.000000,0.500000,0,30
62,13:52:14.629,Quaker Bot Long Strafes,MG,0.281000s,50,40,0.800000,70.000000,100.000000,0.700000,0,30
63,13:52:15.351,Quaker Bot Long Strafes,MG,0.492000s,80,40,0.500000,80.000000,160.000000,0.500000,0,20
64,13:52:15.814,Quaker Bot Long Strafes,MG,0.210000s,40,40,1.000000,70.000000,80.000000,0.875000,0,30
65,13:52:16.514,Quaker Bot Long Strafes,MG,0.421000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
66,13:52:17.216,Quaker Bot Long Strafes,MG,0.421000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
67,13:52:17.844,Quaker Bot Long Strafes,MG,0.355000s,60,60,1.000000,70.000000,120.000000,0.583333,0,30
68,13:52:18.477,Quaker Bot Long Strafes,MG,0.350000s,60,50,0.833333,80.000000,120.000000,0.666667,0,30
69,13:52:18.963,Quaker Bot Long Strafes,MG,0.210000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
70,13:52:19.454,Quaker Bot Long Strafes,MG,0.210000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
71,13:52:20.086,Quaker Bot Long Strafes,MG,0.351000s,60,40,0.666667,80.000000,120.000000,0.666667,0,30
72,13:52:20.716,Quaker Bot Long Strafes,MG,0.350000s,60,60,1.000000,80.000000,120.000000,0.666667,0,30
73,13:52:21.207,Quaker Bot Long Strafes,MG,0.208000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
74,13:52:21.695,Quaker Bot Long Strafes,MG,0.211000s,40,40,1.000000,70.000000,80.000000,0.875000,0,30
75,13:52:22.394,Quaker Bot Long Strafes,MG,0.420000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
76,13:52:22.953,Quaker Bot Long Strafes,MG,0.280000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
77,13:52:23.443,Quaker Bot Long Strafes,MG,0.209000s,40,40,1.000000,70.000000,80.000000,0.875000,0,30
78,13:52:23.935,Quaker Bot Long Strafes,MG,0.214000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
79,13:52:24.384,Quaker Bot Long Strafes,MG,0.208000s,40,40,1.000000,80.000000,80.000000,1.000000,0,20
80,13:52:24.917,Quaker Bot Long Strafes,MG,0.280000s,50,50,1.000000,70.000000,100.000000,0.700000,0,30
81,13:52:25.546,Quaker Bot Long Strafes,MG,0.349000s,60,40,0.666667,70.000000,120.000000,0.583333,0,30
82,13:52:26.877,Quaker Bot Long Strafes,MG,1.050000s,160,60,0.375000,110.000000,320.000000,0.343750,0,30
83,13:52:27.225,Quaker Bot Long Strafes,MG,0.072000s,20,20,1.000000,40.000000,40.000000,1.000000,0,30
84,13:52:27.927,Quaker Bot Long Strafes,MG,0.419000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
85,13:52:28.486,Quaker Bot Long Strafes,MG,0.282000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
86,13:52:29.255,Quaker Bot Long Strafes,MG,0.492000s,80,40,0.500000,80.000000,160.000000,0.500000,0,30
87,13:52:29.886,Quaker Bot Long Strafes,MG,0.349000s,60,40,0.666667,80.000000,120.000000,0.666667,0,30
88,13:52:30.543,Quaker Bot Long Strafes,MG,0.422000s,70,40,0.571429,80.000000,140.000000,0.571429,0,20
89,13:52:31.001,Quaker Bot Long Strafes,MG,0.207000s,40,40,1.000000,70.000000,80.000000,0.875000,0,30
90,13:52:31.846,Quaker Bot Long Strafes,MG,0.562000s,90,40,0.444444,80.000000,180.000000,0.444444,0,30
91,13:52:32.546,Quaker Bot Long Strafes,MG,0.419000s,70,40,0.571429,70.000000,140.000000,0.500000,0,30
92,13:52:33.314,Quaker Bot Long Strafes,MG,0.493000s,80,40,0.500000,80.000000,160.000000,0.500000,0,30
93,13:52:34.013,Quaker Bot Long Strafes,MG,0.418000s,70,40,0.571429,70.000000,140.000000,0.500000,0,30
94,13:52:34.571,Quaker Bot Long Strafes,MG,0.281000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
95,13:52:35.063,Quaker Bot Long Strafes,MG,0.209000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
96,13:52:35.763,Quaker Bot Long Strafes,MG,0.421000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MG,5830,4020,7480.0,11660.0,

Kills:,96
Deaths:,0
Fight Time:,33.792
Time Remaining:,0.0
Avg TTK:,0.624996
Damage Done:,7480.0
Total Overshots:,2750
Damage Taken:,0.0
Hit Count:,4020
Miss Count:,1810
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,12.985474
MBS Points:,0.0
Score:,7480.0
Scenario:,patTargetSwitch 90 easy
Hash:,c32a5c4ff1a4521209dc5ef5658c735d
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,13:51:36.037
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,218.936798
Resolution Scale:,100.0
