Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:35:44.259,Quaker Bot Long Strafes,MG,0.207000s,40,40,1.000000,70.000000,80.000000,0.875000,0,30
2,15:35:45.202,Quaker Bot Long Strafes,MG,0.485000s,80,40,0.500000,80.000000,160.000000,0.500000,0,0
3,15:35:46.124,Quaker Bot Long Strafes,MG,0.203000s,40,40,1.000000,80.000000,80.000000,1.000000,0,0
4,15:35:46.996,Quaker Bot Long Strafes,MG,0.205000s,40,40,1.000000,80.000000,80.000000,1.000000,0,10
5,15:35:47.779,Quaker Bot Long Strafes,MG,0.204000s,40,40,1.000000,80.000000,80.000000,1.000000,0,10
6,15:35:48.527,Quaker Bot Long Strafes,MG,0.277000s,50,40,0.800000,80.000000,100.000000,0.800000,0,0
7,15:35:49.280,Quaker Bot Long Strafes,MG,0.204000s,40,40,1.000000,80.000000,80.000000,1.000000,0,10
8,15:35:50.776,Quaker Bot Long Strafes,MG,0.946000s,100,70,0.700000,140.000000,200.000000,0.700000,0,0
9,15:35:51.600,Quaker Bot Long Strafes,MG,0.140000s,30,10,0.333333,20.000000,60.000000,0.333333,0,30
10,15:35:52.283,Quaker Bot Long Strafes,MG,0.345000s,60,40,0.666667,80.000000,120.000000,0.666667,0,0
11,15:35:53.286,Quaker Bot Long Strafes,MG,0.204000s,40,40,1.000000,80.000000,80.000000,1.000000,0,20
12,15:35:55.183,Quaker Bot Long Strafes,MG,1.484000s,80,80,1.000000,140.000000,160.000000,0.875000,0,10
13,15:35:55.735,Quaker Bot Long Strafes,MG,0.000000s,10,10,1.000000,20.000000,20.000000,1.000000,0,10
14,15:35:56.654,Quaker Bot Long Strafes,MG,0.348000s,60,40,0.666667,80.000000,120.000000,0.666667,0,10
15,15:35:57.393,Quaker Bot Long Strafes,MG,0.207000s,40,40,1.000000,80.000000,80.000000,1.000000,0,10
16,15:35:58.117,Quaker Bot Long Strafes,MG,0.207000s,40,40,1.000000,80.000000,80.000000,1.000000,0,10
17,15:35:58.986,Quaker Bot Long Strafes,MG,0.205000s,40,40,1.000000,70.000000,80.000000,0.875000,0,10
18,15:35:59.695,Quaker Bot Long Strafes,MG,0.209000s,40,40,1.000000,80.000000,80.000000,1.000000,0,10
19,15:36:00.511,Quaker Bot Long Strafes,MG,0.209000s,40,40,1.000000,80.000000,80.000000,1.000000,0,10
20,15:36:01.176,Quaker Bot Long Strafes,MG,0.204000s,40,40,1.000000,80.000000,80.000000,1.000000,0,0
21,15:36:02.073,Quaker Bot Long Strafes,MG,0.210000s,40,40,1.000000,80.000000,80.000000,1.000000,0,10
22,15:36:03.453,Quaker Bot Long Strafes,MG,0.809000s,80,40,0.500000,80.000000,160.000000,0.500000,0,0
23,15:36:04.297,Quaker Bot Long Strafes,MG,0.210000s,40,40,1.000000,80.000000,80.000000,1.000000,0,20
24,15:36:05.118,Quaker Bot Long Strafes,MG,0.207000s,40,40,1.000000,80.000000,80.000000,1.000000,0,10
25,15:36:06.348,Quaker Bot Long Strafes,MG,0.207000s,40,40,1.000000,80.000000,80.000000,1.000000,0,10
26,15:36:07.145,Quaker Bot Long Strafes,MG,0.207000s,40,40,1.000000,80.000000,80.000000,1.000000,0,20
27,15:36:07.982,Quaker Bot Long Strafes,MG,0.278000s,50,50,1.000000,70.000000,100.000000,0.700000,0,0
28,15:36:09.552,Quaker Bot Long Strafes,MG,1.116000s,110,90,0.818182,140.000000,220.000000,0.636364,0,0
29,15:36:10.172,Quaker Bot Long Strafes,MG,0.140000s,30,10,0.333333,20.000000,60.000000,0.333333,0,10
30,15:36:10.826,Quaker Bot Long Strafes,MG,0.204000s,40,40,1.000000,80.000000,80.000000,1.000000,0,10
31,15:36:11.705,Quaker Bot Long Strafes,MG,0.208000s,40,40,1.000000,80.000000,80.000000,1.000000,0,10
