Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,13:46:19.727,Quaker Bot Long Strafes,MG,0.275000s,50,50,1.000000,70.000000,100.000000,0.700000,0,30
2,13:46:20.526,Quaker Bot Long Strafes,MG,0.560000s,90,40,0.444444,80.000000,180.000000,0.444444,0,20
3,13:46:21.130,Quaker Bot Long Strafes,MG,0.349000s,60,40,0.666667,70.000000,120.000000,0.583333,0,30
4,13:46:22.178,Quaker Bot Long Strafes,MG,0.770000s,120,40,0.333333,80.000000,240.000000,0.333333,0,30
5,13:46:22.740,Quaker Bot Long Strafes,MG,0.283000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
6,13:46:23.298,Quaker Bot Long Strafes,MG,0.277000s,50,50,1.000000,80.000000,100.000000,0.800000,0,30
7,13:46:24.277,Quaker Bot Long Strafes,MG,0.701000s,110,40,0.363636,80.000000,220.000000,0.363636,0,30
8,13:46:25.400,Quaker Bot Long Strafes,MG,0.782000s,130,40,0.307692,80.000000,260.000000,0.307692,0,30
9,13:46:26.051,Quaker Bot Long Strafes,MG,0.350000s,60,50,0.833333,80.000000,120.000000,0.666667,0,30
10,13:46:26.731,Quaker Bot Long Strafes,MG,0.419000s,70,50,0.714286,70.000000,140.000000,0.500000,0,30
11,13:46:27.432,Quaker Bot Long Strafes,MG,0.415000s,70,50,0.714286,80.000000,140.000000,0.571429,0,30
12,13:46:28.128,Quaker Bot Long Strafes,MG,0.419000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
13,13:46:28.970,Quaker Bot Long Strafes,MG,0.562000s,90,40,0.444444,80.000000,180.000000,0.444444,0,30
14,13:46:29.668,Quaker Bot Long Strafes,MG,0.419000s,70,40,0.571429,70.000000,140.000000,0.500000,0,30
15,13:46:30.229,Quaker Bot Long Strafes,MG,0.281000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
16,13:46:30.931,Quaker Bot Long Strafes,MG,0.421000s,70,40,0.571429,70.000000,140.000000,0.500000,0,30
17,13:46:32.119,Quaker Bot Long Strafes,MG,0.910000s,140,40,0.285714,80.000000,280.000000,0.285714,0,30
18,13:46:32.751,Quaker Bot Long Strafes,MG,0.349000s,60,40,0.666667,80.000000,120.000000,0.666667,0,30
19,13:46:33.309,Quaker Bot Long Strafes,MG,0.283000s,50,50,1.000000,80.000000,100.000000,0.800000,0,30
20,13:46:33.872,Quaker Bot Long Strafes,MG,0.283000s,50,40,0.800000,70.000000,100.000000,0.700000,0,30
21,13:46:34.709,Quaker Bot Long Strafes,MG,0.562000s,90,40,0.444444,70.000000,180.000000,0.388889,0,30
22,13:46:35.337,Quaker Bot Long Strafes,MG,0.347000s,60,40,0.666667,80.000000,120.000000,0.666667,0,30
23,13:46:35.830,Quaker Bot Long Strafes,MG,0.214000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
24,13:46:36.530,Quaker Bot Long Strafes,MG,0.417000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
25,13:46:37.256,Quaker Bot Long Strafes,MG,0.488000s,80,40,0.500000,80.000000,160.000000,0.500000,0,20
26,13:46:37.856,Quaker Bot Long Strafes,MG,0.349000s,60,50,0.833333,70.000000,120.000000,0.583333,0,30
27,13:46:39.046,Quaker Bot Long Strafes,MG,0.908000s,140,70,0.500000,140.000000,280.000000,0.500000,0,30
28,13:46:39.402,Quaker Bot Long Strafes,MG,0.075000s,20,10,0.500000,20.000000,40.000000,0.500000,0,30
29,13:46:40.028,Quaker Bot Long Strafes,MG,0.348000s,60,50,0.833333,80.000000,120.000000,0.666667,0,30
30,13:46:40.940,Quaker Bot Long Strafes,MG,0.633000s,100,40,0.400000,80.000000,200.000000,0.400000,0,30
31,13:46:41.779,Quaker Bot Long Strafes,MG,0.563000s,90,40,0.444444,80.000000,180.000000,0.444444,0,30
32,13:46:42.476,Quaker Bot Long Strafes,MG,0.419000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
33,13:46:42.970,Quaker Bot Long Strafes,MG,0.208000s,40,40,1.000000,70.000000,80.000000,0.875000,0,30
34,13:46:43.695,Quaker Bot Long Strafes,MG,0.490000s,80,40,0.500000,80.000000,160.000000,0.500000,0,20
35,13:46:44.296,Quaker Bot Long Strafes,MG,0.349000s,60,40,0.666667,70.000000,120.000000,0.583333,0,30
36,13:46:45.072,Quaker Bot Long Strafes,MG,0.493000s,80,50,0.625000,80.000000,160.000000,0.500000,0,30
37,13:46:45.629,Quaker Bot Long Strafes,MG,0.276000s,50,50,1.000000,80.000000,100.000000,0.800000,0,30
38,13:46:46.329,Quaker Bot Long Strafes,MG,0.423000s,70,50,0.714286,80.000000,140.000000,0.571429,0,30
39,13:46:47.031,Quaker Bot Long Strafes,MG,0.421000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
40,13:46:47.518,Quaker Bot Long Strafes,MG,0.205000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
41,13:46:48.176,Quaker Bot Long Strafes,MG,0.422000s,70,40,0.571429,80.000000,140.000000,0.571429,0,20
42,13:46:48.852,Quaker Bot Long Strafes,MG,0.421000s,70,40,0.571429,70.000000,140.000000,0.500000,0,30
43,13:46:49.439,Quaker Bot Long Strafes,MG,0.351000s,60,50,0.833333,80.000000,120.000000,0.666667,0,20
44,13:46:50.116,Quaker Bot Long Strafes,MG,0.422000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
45,13:46:50.628,Quaker Bot Long Strafes,MG,0.276000s,50,40,0.800000,80.000000,100.000000,0.800000,0,20
46,13:46:51.229,Quaker Bot Long Strafes,MG,0.348000s,60,40,0.666667,70.000000,120.000000,0.583333,0,30
47,13:46:51.717,Quaker Bot Long Strafes,MG,0.210000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
48,13:46:52.420,Quaker Bot Long Strafes,MG,0.420000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
49,13:46:53.260,Quaker Bot Long Strafes,MG,0.558000s,90,40,0.444444,80.000000,180.000000,0.444444,0,30
50,13:46:53.847,Quaker Bot Long Strafes,MG,0.352000s,60,40,0.666667,70.000000,120.000000,0.583333,0,20
51,13:46:54.588,Quaker Bot Long Strafes,MG,0.490000s,80,40,0.500000,70.000000,160.000000,0.437500,0,30
52,13:46:55.151,Quaker Bot Long Strafes,MG,0.281000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
53,13:46:55.710,Quaker Bot Long Strafes,MG,0.284000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
54,13:46:56.337,Quaker Bot Long Strafes,MG,0.348000s,60,40,0.666667,80.000000,120.000000,0.666667,0,30
55,13:46:57.039,Quaker Bot Long Strafes,MG,0.415000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
56,13:46:57.809,Quaker Bot Long Strafes,MG,0.491000s,80,40,0.500000,70.000000,160.000000,0.437500,0,30
57,13:46:58.646,Quaker Bot Long Strafes,MG,0.559000s,90,40,0.444444,80.000000,180.000000,0.444444,0,30
58,13:46:59.282,Quaker Bot Long Strafes,MG,0.354000s,60,40,0.666667,80.000000,120.000000,0.666667,0,30
59,13:46:59.840,Quaker Bot Long Strafes,MG,0.278000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
60,13:47:00.332,Quaker Bot Long Strafes,MG,0.210000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
61,13:47:00.962,Quaker Bot Long Strafes,MG,0.351000s,60,50,0.833333,70.000000,120.000000,0.583333,0,30
62,13:47:01.523,Quaker Bot Long Strafes,MG,0.284000s,50,40,0.800000,70.000000,100.000000,0.700000,0,30
63,13:47:02.317,Quaker Bot Long Strafes,MG,0.558000s,90,40,0.444444,80.000000,180.000000,0.444444,0,20
64,13:47:02.778,Quaker Bot Long Strafes,MG,0.207000s,40,40,1.000000,70.000000,80.000000,0.875000,0,30
65,13:47:03.412,Quaker Bot Long Strafes,MG,0.353000s,60,40,0.666667,80.000000,120.000000,0.666667,0,30
66,13:47:04.183,Quaker Bot Long Strafes,MG,0.488000s,80,40,0.500000,80.000000,160.000000,0.500000,0,30
67,13:47:05.018,Quaker Bot Long Strafes,MG,0.560000s,90,40,0.444444,80.000000,180.000000,0.444444,0,30
68,13:47:05.722,Quaker Bot Long Strafes,MG,0.422000s,70,40,0.571429,80.000000,140.000000,0.571429,0,30
69,13:47:06.276,Quaker Bot Long Strafes,MG,0.281000s,50,40,0.800000,80.000000,100.000000,0.800000,0,30
70,13:47:06.769,Quaker Bot Long Strafes,MG,0.209000s,40,40,1.000000,80.000000,80.000000,1.000000,0,30
