Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:02:26.941,target,LG,0.797000s,72,20,0.277778,1.000000,3.599998,0.277778,0,21
2,14:02:27.626,target,LG,0.439000s,39,20,0.512821,1.000000,1.949999,0.512821,0,20
3,14:02:28.227,target,LG,0.348000s,31,20,0.645161,1.000000,1.550000,0.645162,0,21
4,14:02:28.913,target,LG,0.427000s,38,20,0.526316,1.000000,1.899999,0.526316,0,21
5,14:02:29.712,target,LG,0.544000s,48,20,0.416667,1.000000,2.399999,0.416667,0,21
6,14:02:30.547,target,LG,0.577000s,51,20,0.392157,1.000000,2.549999,0.392157,0,21
7,14:02:31.477,target,LG,0.671000s,59,20,0.338983,1.000000,2.949998,0.338983,0,22
8,14:02:32.266,target,LG,0.524000s,46,20,0.434783,1.000000,2.299999,0.434783,0,22
9,14:02:33.330,target,LG,0.800000s,70,22,0.314286,1.100000,3.499998,0.314286,0,21
10,14:02:33.840,target,LG,0.254000s,23,18,0.782609,0.900000,1.150000,0.782609,0,21
11,14:02:34.375,target,LG,0.279000s,25,20,0.800000,1.000000,1.250000,0.800000,0,21
12,14:02:35.141,target,LG,0.510000s,45,20,0.444444,1.000000,2.249999,0.444445,0,21
13,14:02:36.336,target,LG,0.938000s,82,20,0.243902,1.000000,4.099998,0.243903,0,21
14,14:02:37.029,target,LG,0.439000s,39,20,0.512821,1.000000,1.949999,0.512821,0,21
15,14:02:38.168,target,LG,0.883000s,77,20,0.259740,1.000000,3.849998,0.259740,0,21
16,14:02:39.133,target,LG,0.708000s,62,20,0.322581,1.000000,3.099998,0.322581,0,22
17,14:02:39.989,target,LG,0.591000s,52,20,0.384615,1.000000,2.599999,0.384616,0,21
18,14:02:41.046,target,LG,0.801000s,70,20,0.285714,1.000000,3.499998,0.285715,0,21
19,14:02:41.859,target,LG,0.557000s,49,20,0.408163,1.000000,2.449999,0.408164,0,22
20,14:02:42.914,target,LG,0.791000s,69,20,0.289855,1.000000,3.449998,0.289855,0,21
21,14:02:43.830,target,LG,0.661000s,58,21,0.362069,1.050000,2.899998,0.362069,0,21
22,14:02:44.396,target,LG,0.310000s,28,19,0.678571,0.950000,1.400000,0.678572,0,21
23,14:02:45.305,target,LG,0.652000s,57,20,0.350877,1.000000,2.849998,0.350877,0,22
24,14:02:46.543,target,LG,0.974000s,85,20,0.235294,1.000000,4.249998,0.235294,0,21
25,14:02:47.324,target,LG,0.523000s,46,20,0.434783,1.000000,2.299999,0.434783,0,22
26,14:02:48.757,target,LG,1.170000s,102,20,0.196078,1.000000,5.100001,0.196078,0,21
27,14:02:49.720,target,LG,0.708000s,62,20,0.322581,1.000000,3.099998,0.322581,0,21
28,14:02:50.440,target,LG,0.463000s,41,20,0.487805,1.000000,2.049999,0.487805,0,21
29,14:02:51.020,target,LG,0.324000s,29,20,0.689655,1.000000,1.450000,0.689655,0,21
30,14:02:52.008,target,LG,0.732000s,64,20,0.312500,1.000000,3.199998,0.312500,0,21
31,14:02:53.156,target,LG,0.892000s,78,20,0.256410,1.000000,3.899997,0.256410,0,21
32,14:02:53.759,target,LG,0.346000s,31,20,0.645161,1.000000,1.550000,0.645162,0,21
33,14:02:54.550,target,LG,0.534000s,47,20,0.425532,1.000000,2.349999,0.425532,0,22
34,14:02:55.222,target,LG,0.406000s,36,20,0.555556,1.000000,1.799999,0.555556,0,22
35,14:02:56.389,target,LG,0.905000s,79,20,0.253165,1.000000,3.949997,0.253165,0,21
36,14:02:57.215,target,LG,0.570000s,50,20,0.400000,1.000000,2.499999,0.400000,0,21
37,14:02:58.041,target,LG,0.570000s,50,20,0.400000,1.000000,2.499999,0.400000,0,22
38,14:02:58.643,target,LG,0.337000s,30,20,0.666667,1.000000,1.500000,0.666667,0,21
39,14:02:59.317,target,LG,0.417000s,37,20,0.540541,1.000000,1.849999,0.540541,0,21
40,14:03:00.000,target,LG,0.426000s,38,20,0.526316,1.000000,1.899999,0.526316,0,21
41,14:03:00.628,target,LG,0.372000s,33,20,0.606061,1.000000,1.649999,0.606061,0,22
42,14:03:01.588,target,LG,0.698000s,61,20,0.327869,1.000000,3.049998,0.327869,0,21
43,14:03:02.472,target,LG,0.627000s,55,20,0.363636,1.000000,2.749999,0.363637,0,22
44,14:03:03.618,target,LG,0.881000s,77,20,0.259740,1.000000,3.849998,0.259740,0,21
45,14:03:04.361,target,LG,0.487000s,43,20,0.465116,1.000000,2.149999,0.465117,0,21
46,14:03:05.197,target,LG,0.580000s,51,20,0.392157,1.000000,2.549999,0.392157,0,21
47,14:03:06.136,target,LG,0.684000s,60,20,0.333333,1.000000,2.999998,0.333334,0,21
48,14:03:06.947,target,LG,0.556000s,49,20,0.408163,1.000000,2.449999,0.408164,0,21
49,14:03:08.049,target,LG,0.846000s,74,20,0.270270,1.000000,3.699998,0.270270,0,21
50,14:03:08.803,target,LG,0.498000s,44,21,0.477273,1.050000,2.199999,0.477273,0,21
51,14:03:09.523,target,LG,0.464000s,41,19,0.463415,0.950000,2.049999,0.463415,0,21
52,14:03:10.443,target,LG,0.662000s,58,20,0.344828,1.000000,2.899998,0.344828,0,22
53,14:03:11.637,target,LG,0.929000s,81,20,0.246914,1.000000,4.049997,0.246914,0,22
54,14:03:12.552,target,LG,0.650000s,57,20,0.350877,1.000000,2.849998,0.350877,0,21
55,14:03:13.502,target,LG,0.694000s,61,27,0.442623,1.350000,3.049998,0.442623,0,21
56,14:03:14.326,target,LG,0.568000s,50,13,0.260000,0.650000,2.499999,0.260000,0,21
57,14:03:15.299,target,LG,0.717000s,63,20,0.317460,1.000000,3.149998,0.317461,0,21
58,14:03:16.193,target,LG,0.638000s,56,20,0.357143,1.000000,2.799999,0.357143,0,21
59,14:03:16.935,target,LG,0.485000s,43,20,0.465116,1.000000,2.149999,0.465117,0,21
60,14:03:18.394,target,LG,1.205000s,105,20,0.190476,1.000000,5.250002,0.190476,0,21
61,14:03:19.707,target,LG,1.058000s,92,20,0.217391,1.000000,4.599999,0.217391,0,21
62,14:03:20.291,target,LG,0.567000s,50,20,0.400000,1.000000,2.499999,0.400000,0,0
63,14:03:21.382,target,LG,0.836000s,73,20,0.273973,1.000000,3.649998,0.273973,0,22
64,14:03:22.550,target,LG,0.904000s,79,20,0.253165,1.000000,3.949997,0.253165,0,21
65,14:03:23.441,target,LG,0.637000s,56,20,0.357143,1.000000,2.799999,0.357143,0,21
66,14:03:24.492,target,LG,0.792000s,69,20,0.289855,1.000000,3.449998,0.289855,0,22
67,14:03:25.256,target,LG,0.499000s,44,20,0.454545,1.000000,2.199999,0.454546,0,22
68,14:03:25.866,target,LG,0.593000s,52,20,0.384615,1.000000,2.599999,0.384616,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,3772,1360,67.99955,188.606903,

Kills:,68
Deaths:,0
Fight Time:,42.924999
Time Remaining:,0.0
Avg TTK:,0.882348
Damage Done:,67.99955
Total Overshots:,1401
Damage Taken:,0.0
Hit Count:,1360
Miss Count:,2412
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,67.99955
Scenario:,psalmTS Voltaic Easy
Hash:,9c9cb20f76343728b0432f23709c7b74
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:02:25.879
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,245.688187
Resolution Scale:,100.0
