Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:06:33.414,target,LG,0.783000s,71,10,0.140845,1.000000,7.099996,0.140845,0,21
2,14:06:34.261,target,LG,0.591000s,52,10,0.192308,1.000000,5.199997,0.192308,0,21
3,14:06:34.948,target,LG,0.432000s,38,10,0.263158,1.000000,3.799999,0.263158,0,22
4,14:06:36.190,target,LG,0.976000s,85,10,0.117647,1.000000,8.499996,0.117647,0,22
5,14:06:37.047,target,LG,0.590000s,52,10,0.192308,1.000000,5.199997,0.192308,0,22
6,14:06:37.915,target,LG,0.602000s,53,10,0.188679,1.000000,5.299997,0.188679,0,21
7,14:06:38.634,target,LG,0.463000s,41,10,0.243902,1.000000,4.099998,0.243903,0,21
8,14:06:39.379,target,LG,0.488000s,43,10,0.232558,1.000000,4.299998,0.232558,0,22
9,14:06:40.259,target,LG,0.611000s,54,10,0.185185,1.000000,5.399997,0.185185,0,21
10,14:06:41.405,target,LG,0.892000s,78,10,0.128205,1.000000,7.799995,0.128205,0,21
11,14:06:42.321,target,LG,0.660000s,58,10,0.172414,1.000000,5.799997,0.172414,0,21
12,14:06:43.069,target,LG,0.490000s,43,10,0.232558,1.000000,4.299998,0.232558,0,22
13,14:06:43.648,target,LG,0.316000s,28,10,0.357143,1.000000,2.799999,0.357143,0,22
14,14:06:44.948,target,LG,1.036000s,90,13,0.144444,1.300000,8.999998,0.144444,0,22
15,14:06:45.794,target,LG,0.579000s,51,13,0.254902,1.300000,5.099998,0.254902,0,22
16,14:06:46.531,target,LG,0.473000s,42,4,0.095238,0.400000,4.199998,0.095238,0,21
17,14:06:47.600,target,LG,0.814000s,71,10,0.140845,1.000000,7.099996,0.140845,0,21
18,14:06:48.124,target,LG,0.268000s,24,10,0.416667,1.000000,2.400000,0.416667,0,22
19,14:06:48.996,target,LG,0.614000s,54,10,0.185185,1.000000,5.399997,0.185185,0,20
20,14:06:49.779,target,LG,0.532000s,47,10,0.212766,1.000000,4.699998,0.212766,0,21
21,14:06:50.630,target,LG,0.594000s,52,10,0.192308,1.000000,5.199997,0.192308,0,22
22,14:06:51.568,target,LG,0.672000s,59,10,0.169492,1.000000,5.899997,0.169492,0,21
23,14:06:52.580,target,LG,0.754000s,66,10,0.151515,1.000000,6.599996,0.151515,0,22
24,14:06:53.205,target,LG,0.357000s,32,10,0.312500,1.000000,3.199999,0.312500,0,21
25,14:06:53.634,target,LG,0.173000s,16,10,0.625000,1.000000,1.600000,0.625000,0,22
26,14:06:55.348,target,LG,1.447000s,126,10,0.079365,1.000000,12.600012,0.079365,0,21
27,14:06:56.651,target,LG,1.046000s,91,10,0.109890,1.000000,9.099998,0.109890,0,22
28,14:06:57.588,target,LG,0.672000s,59,10,0.169492,1.000000,5.899997,0.169492,0,21
29,14:06:58.507,target,LG,0.660000s,58,10,0.172414,1.000000,5.799997,0.172414,0,22
30,14:06:59.246,target,LG,0.473000s,42,10,0.238095,1.000000,4.199998,0.238095,0,21
31,14:06:59.688,target,LG,0.187000s,17,10,0.588235,1.000000,1.700000,0.588235,0,21
32,14:07:00.456,target,LG,0.522000s,46,10,0.217391,1.000000,4.599998,0.217391,0,20
33,14:07:01.361,target,LG,0.651000s,57,10,0.175439,1.000000,5.699997,0.175439,0,22
34,14:07:02.216,target,LG,0.592000s,52,10,0.192308,1.000000,5.199997,0.192308,0,21
35,14:07:03.156,target,LG,0.686000s,60,10,0.166667,1.000000,5.999997,0.166667,0,21
36,14:07:03.715,target,LG,0.300000s,27,10,0.370370,1.000000,2.700000,0.370370,0,22
37,14:07:04.418,target,LG,0.439000s,39,10,0.256410,1.000000,3.899998,0.256410,0,21
38,14:07:04.895,target,LG,0.221000s,20,10,0.500000,1.000000,2.000000,0.500000,0,21
39,14:07:05.536,target,LG,0.385000s,34,10,0.294118,1.000000,3.399999,0.294118,0,22
40,14:07:06.175,target,LG,0.371000s,33,10,0.303030,1.000000,3.299999,0.303030,0,22
41,14:07:06.974,target,LG,0.534000s,47,10,0.212766,1.000000,4.699998,0.212766,0,21
42,14:07:07.717,target,LG,0.486000s,43,10,0.232558,1.000000,4.299998,0.232558,0,22
43,14:07:08.179,target,LG,0.196000s,18,10,0.555556,1.000000,1.800000,0.555556,0,21
44,14:07:09.283,target,LG,0.848000s,74,10,0.135135,1.000000,7.399995,0.135135,0,22
45,14:07:10.035,target,LG,0.486000s,43,10,0.232558,1.000000,4.299998,0.232558,0,21
46,14:07:10.604,target,LG,0.310000s,28,10,0.357143,1.000000,2.799999,0.357143,0,21
47,14:07:11.379,target,LG,0.519000s,46,10,0.217391,1.000000,4.599998,0.217391,0,21
48,14:07:12.406,target,LG,0.768000s,67,10,0.149254,1.000000,6.699996,0.149254,0,22
49,14:07:13.145,target,LG,0.476000s,42,10,0.238095,1.000000,4.199998,0.238095,0,22
50,14:07:13.647,target,LG,0.233000s,21,10,0.476190,1.000000,2.100000,0.476191,0,22
51,14:07:14.119,target,LG,0.211000s,19,10,0.526316,1.000000,1.900000,0.526316,0,22
52,14:07:15.021,target,LG,0.639000s,56,10,0.178571,1.000000,5.599997,0.178572,0,21
53,14:07:16.442,target,LG,1.162000s,101,10,0.099010,1.000000,10.100002,0.099010,0,22
54,14:07:17.347,target,LG,0.638000s,56,11,0.196429,1.100000,5.599997,0.196429,0,22
55,14:07:17.959,target,LG,0.346000s,31,9,0.290323,0.900000,3.099999,0.290323,0,21
56,14:07:19.062,target,LG,0.846000s,74,10,0.135135,1.000000,7.399995,0.135135,0,22
57,14:07:19.796,target,LG,0.465000s,41,10,0.243902,1.000000,4.099998,0.243903,0,22
58,14:07:20.497,target,LG,0.439000s,39,10,0.256410,1.000000,3.899998,0.256410,0,21
59,14:07:22.021,target,LG,1.266000s,110,10,0.090909,1.000000,11.000006,0.090909,0,22
60,14:07:22.771,target,LG,0.486000s,43,10,0.232558,1.000000,4.299998,0.232558,0,21
61,14:07:23.318,target,LG,0.289000s,26,10,0.384615,1.000000,2.600000,0.384615,0,21
62,14:07:23.875,target,LG,0.299000s,27,10,0.370370,1.000000,2.700000,0.370370,0,21
63,14:07:24.941,target,LG,0.811000s,71,10,0.140845,1.000000,7.099996,0.140845,0,21
64,14:07:26.265,target,LG,1.066000s,93,10,0.107527,1.000000,9.299999,0.107527,0,21
65,14:07:27.053,target,LG,0.533000s,47,10,0.212766,1.000000,4.699998,0.212766,0,21
66,14:07:28.221,target,LG,0.913000s,80,10,0.125000,1.000000,7.999995,0.125000,0,21
67,14:07:28.725,target,LG,0.244000s,22,10,0.454545,1.000000,2.200000,0.454545,0,22
68,14:07:29.362,target,LG,0.373000s,33,10,0.303030,1.000000,3.299999,0.303030,0,21
69,14:07:30.209,target,LG,0.590000s,52,10,0.192308,1.000000,5.199997,0.192308,0,21
70,14:07:30.917,target,LG,0.452000s,40,10,0.250000,1.000000,3.999998,0.250000,0,22
71,14:07:31.494,target,LG,0.314000s,28,10,0.357143,1.000000,2.799999,0.357143,0,21
72,14:07:31.961,target,LG,0.207000s,19,10,0.526316,1.000000,1.900000,0.526316,0,22
73,14:07:32.350,target,LG,0.257000s,23,10,0.434783,1.000000,2.300000,0.434783,0,10

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,3621,730,72.999458,362.112885,

Kills:,73
Deaths:,0
Fight Time:,41.113998
Time Remaining:,0.0
Avg TTK:,0.821913
Damage Done:,72.999458
Total Overshots:,1552
Damage Taken:,0.0
Hit Count:,730
Miss Count:,2891
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,72.999458
Scenario:,psalmTS Voltaic LowTTK
Hash:,87f14ea3118829e6ff6e72da797a3db3
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:06:32.366
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,218.579758
Resolution Scale:,100.0
