Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:43:12.443,regen_dot,Poke-Drill,5.360000s,540,154,0.285185,154.000000,540.000000,0.285185,0,26
2,22:43:20.221,regen_dot,Poke-Drill,7.492001s,752,230,0.305851,230.000000,752.000000,0.305851,0,25
3,22:43:21.856,regen_dot,Poke-Drill,1.378000s,139,60,0.431655,60.000000,139.000000,0.431655,0,25
4,22:43:33.536,regen_dot,Poke-Drill,11.416000s,1143,396,0.346457,396.000000,1143.000000,0.346457,0,25
5,22:43:35.977,regen_dot,Poke-Drill,2.180000s,219,94,0.429224,94.000000,219.000000,0.429224,0,25
6,22:43:42.689,regen_dot,Poke-Drill,6.449000s,646,234,0.362229,234.000000,646.000000,0.362229,0,25
7,22:43:44.786,regen_dot,Poke-Drill,1.832000s,185,75,0.405405,75.000000,185.000000,0.405405,0,25
8,22:43:48.636,regen_dot,Poke-Drill,3.590000s,360,114,0.316667,114.000000,360.000000,0.316667,0,25
9,22:43:52.151,regen_dot,Poke-Drill,3.256000s,326,91,0.279141,91.000000,326.000000,0.279141,0,25
10,22:43:55.931,regen_dot,Poke-Drill,3.522000s,353,118,0.334278,118.000000,353.000000,0.334278,0,25
11,22:44:04.331,regen_dot,Poke-Drill,8.139000s,815,279,0.342331,279.000000,815.000000,0.342331,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,5720,1911,1911.0,5720.0,

Kills:,11
Deaths:,0
Fight Time:,54.613998
Time Remaining:,0.0
Avg TTK:,5.454514
Damage Done:,1911.0
Total Overshots:,276
Damage Taken:,0.0
Hit Count:,1911
Miss Count:,3809
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,11.0
Scenario:,tamTargetSwitch Control
Hash:,3e539685ecb41045d18697e346a23497
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:43:06.814
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,157.130371
Resolution Scale:,100.0
