Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:46:37.835,regen_dot,Poke-Drill,4.065000s,411,158,0.384428,158.000000,411.000000,0.384428,0,25
2,22:46:41.883,regen_dot,Poke-Drill,3.789000s,380,120,0.315789,120.000000,380.000000,0.315789,0,25
3,22:46:44.201,regen_dot,Poke-Drill,2.059000s,207,82,0.396135,82.000000,207.000000,0.396135,0,25
4,22:46:45.917,regen_dot,Poke-Drill,1.450000s,146,60,0.410959,60.000000,146.000000,0.410959,0,26
5,22:46:51.651,regen_dot,Poke-Drill,5.465000s,548,216,0.394161,216.000000,548.000000,0.394161,0,25
6,22:46:55.533,regen_dot,Poke-Drill,3.611000s,363,138,0.380165,138.000000,363.000000,0.380165,0,25
7,22:47:05.922,regen_dot,Poke-Drill,10.129001s,1014,373,0.367850,373.000000,1014.000000,0.367850,0,25
8,22:47:08.933,regen_dot,Poke-Drill,2.748000s,274,96,0.350365,96.000000,274.000000,0.350365,0,26
9,22:47:12.183,regen_dot,Poke-Drill,2.985000s,300,116,0.386667,116.000000,300.000000,0.386667,0,25
10,22:47:14.834,regen_dot,Poke-Drill,2.380000s,239,99,0.414226,99.000000,239.000000,0.414226,0,26
11,22:47:17.051,regen_dot,Poke-Drill,1.953000s,196,73,0.372449,73.000000,196.000000,0.372449,0,26
12,22:47:22.519,regen_dot,Poke-Drill,5.201000s,521,186,0.357006,186.000000,521.000000,0.357006,0,25
13,22:47:27.015,regen_dot,Poke-Drill,4.235000s,425,143,0.336471,143.000000,425.000000,0.336471,0,25
14,22:47:28.424,regen_dot,Poke-Drill,1.150000s,116,55,0.474138,55.000000,116.000000,0.474138,0,25
15,22:47:31.367,regen_dot,Poke-Drill,2.683000s,269,95,0.353160,95.000000,269.000000,0.353160,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,5620,2056,2056.0,5620.0,

Kills:,15
Deaths:,0
Fight Time:,53.903
Time Remaining:,0.0
Avg TTK:,3.999977
Damage Done:,2056.0
Total Overshots:,379
Damage Taken:,0.0
Hit Count:,2056
Miss Count:,3564
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,15.0
Scenario:,tamTargetSwitch Control
Hash:,3e539685ecb41045d18697e346a23497
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:46:33.497
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,160.399994
Resolution Scale:,100.0
