Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:47:45.141,regen_dot,Poke-Drill,4.272000s,432,144,0.333333,144.000000,432.000000,0.333333,0,25
2,22:47:49.658,regen_dot,Poke-Drill,4.259000s,427,113,0.264637,113.000000,427.000000,0.264637,0,25
3,22:47:51.208,regen_dot,Poke-Drill,1.277000s,129,55,0.426357,55.000000,129.000000,0.426357,0,26
4,22:47:53.043,regen_dot,Poke-Drill,1.567000s,158,75,0.474684,75.000000,158.000000,0.474684,0,25
5,22:47:55.650,regen_dot,Poke-Drill,2.346000s,236,90,0.381356,90.000000,236.000000,0.381356,0,25
6,22:47:58.686,regen_dot,Poke-Drill,2.774000s,278,94,0.338129,94.000000,278.000000,0.338129,0,25
7,22:48:02.573,regen_dot,Poke-Drill,3.630000s,364,127,0.348901,127.000000,364.000000,0.348901,0,25
8,22:48:08.351,regen_dot,Poke-Drill,5.519000s,553,175,0.316456,175.000000,553.000000,0.316456,0,25
9,22:48:12.548,regen_dot,Poke-Drill,3.940000s,395,152,0.384810,152.000000,395.000000,0.384810,0,25
10,22:48:15.035,regen_dot,Poke-Drill,2.220000s,223,80,0.358744,80.000000,223.000000,0.358744,0,25
11,22:48:17.484,regen_dot,Poke-Drill,2.189000s,220,80,0.363636,80.000000,220.000000,0.363636,0,25
12,22:48:18.811,regen_dot,Poke-Drill,1.067000s,108,65,0.601852,65.000000,108.000000,0.601852,0,25
13,22:48:21.641,regen_dot,Poke-Drill,2.573000s,258,87,0.337209,87.000000,258.000000,0.337209,0,25
14,22:48:27.135,regen_dot,Poke-Drill,5.233000s,524,201,0.383588,201.000000,524.000000,0.383588,0,25
15,22:48:30.418,regen_dot,Poke-Drill,3.019000s,303,99,0.326733,99.000000,303.000000,0.326733,0,26
16,22:48:34.434,regen_dot,Poke-Drill,3.748000s,376,143,0.380319,143.000000,376.000000,0.380319,0,25
17,22:48:38.237,regen_dot,Poke-Drill,3.541000s,355,155,0.436620,155.000000,355.000000,0.436620,0,26
18,22:48:40.073,regen_dot,Poke-Drill,1.567000s,158,82,0.518987,82.000000,158.000000,0.518987,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,5548,2017,2017.0,5548.0,

Kills:,18
Deaths:,0
Fight Time:,54.741001
Time Remaining:,0.0
Avg TTK:,3.333314
Damage Done:,2017.0
Total Overshots:,453
Damage Taken:,0.0
Hit Count:,2017
Miss Count:,3531
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,18.0
Scenario:,tamTargetSwitch Control
Hash:,3e539685ecb41045d18697e346a23497
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:47:40.599
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,160.522781
Resolution Scale:,100.0
