Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:56:00.739,regen_dot,Poke-Drill,4.594000s,464,179,0.385776,179.000000,464.000000,0.385776,0,26
2,22:56:03.782,regen_dot,Poke-Drill,2.777000s,279,139,0.498208,139.000000,279.000000,0.498208,0,25
3,22:56:09.533,regen_dot,Poke-Drill,5.492000s,550,194,0.352727,194.000000,550.000000,0.352727,0,25
4,22:56:15.998,regen_dot,Poke-Drill,6.197001s,621,257,0.413849,257.000000,621.000000,0.413849,0,26
5,22:56:39.151,regen_dot,Poke-Drill,22.892000s,2290,807,0.352402,807.000000,2290.000000,0.352402,0,25
6,22:56:43.867,regen_dot,Poke-Drill,4.451000s,446,173,0.387892,173.000000,446.000000,0.387892,0,25
7,22:56:47.290,regen_dot,Poke-Drill,3.162000s,317,104,0.328076,104.000000,317.000000,0.328076,0,26

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,5823,2145,2145.0,5823.0,

Kills:,7
Deaths:,0
Fight Time:,49.564999
Time Remaining:,0.0
Avg TTK:,8.57138
Damage Done:,2145.0
Total Overshots:,178
Damage Taken:,0.0
Hit Count:,2145
Miss Count:,3678
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,7.0
Scenario:,tamTargetSwitch Smooth
Hash:,ebaed4d804f7bb0b1fa3961826398e1f
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:55:55.870
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,152.999802
Resolution Scale:,100.0
