Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:57:05.782,regen_dot,Poke-Drill,1.931000s,198,66,0.333333,66.000000,198.000000,0.333333,0,25
2,22:57:17.333,regen_dot,Poke-Drill,11.289001s,1130,493,0.436283,493.000000,1130.000000,0.436283,0,25
3,22:57:26.279,regen_dot,Poke-Drill,8.699000s,871,303,0.347876,303.000000,871.000000,0.347876,0,23
4,22:57:49.100,regen_dot,Poke-Drill,22.569000s,2258,715,0.316652,715.000000,2258.000000,0.316652,0,25
5,22:58:03.064,regen_dot,Poke-Drill,13.701000s,1371,565,0.412108,565.000000,1371.000000,0.412108,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,5878,2142,2142.0,5878.0,

Kills:,5
Deaths:,0
Fight Time:,58.188999
Time Remaining:,0.0
Avg TTK:,11.999931
Damage Done:,2142.0
Total Overshots:,123
Damage Taken:,0.0
Hit Count:,2142
Miss Count:,3736
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,5.0
Scenario:,tamTargetSwitch Smooth
Hash:,ebaed4d804f7bb0b1fa3961826398e1f
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:57:03.577
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,150.146225
Resolution Scale:,100.0
