Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:58:14.677,regen_dot,Poke-Drill,1.745000s,179,60,0.335196,60.000000,179.000000,0.335196,0,25
2,22:58:22.226,regen_dot,Poke-Drill,7.289001s,730,299,0.409589,299.000000,730.000000,0.409589,0,25
3,22:58:25.636,regen_dot,Poke-Drill,3.147000s,316,129,0.408228,129.000000,316.000000,0.408228,0,25
4,22:58:32.820,regen_dot,Poke-Drill,6.920001s,687,256,0.372635,256.000000,687.000000,0.372635,0,26
5,22:58:34.858,regen_dot,Poke-Drill,1.771000s,178,59,0.331461,59.000000,178.000000,0.331461,0,25
6,22:58:38.222,regen_dot,Poke-Drill,3.103000s,311,111,0.356913,111.000000,311.000000,0.356913,0,26
7,22:58:40.575,regen_dot,Poke-Drill,2.094000s,210,75,0.357143,75.000000,210.000000,0.357143,0,25
8,22:58:44.975,regen_dot,Poke-Drill,4.143000s,415,133,0.320482,133.000000,415.000000,0.320482,0,25
9,22:58:57.218,regen_dot,Poke-Drill,11.982000s,1199,428,0.356964,428.000000,1199.000000,0.356964,0,25
10,22:59:04.026,regen_dot,Poke-Drill,6.549000s,656,201,0.306402,201.000000,656.000000,0.306402,0,25
11,22:59:11.700,regen_dot,Poke-Drill,7.415000s,743,272,0.366083,272.000000,743.000000,0.366083,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,5718,2051,2051.0,5718.0,

Kills:,11
Deaths:,0
Fight Time:,56.158001
Time Remaining:,0.0
Avg TTK:,5.454514
Damage Done:,2051.0
Total Overshots:,277
Damage Taken:,0.0
Hit Count:,2051
Miss Count:,3667
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,11.0
Scenario:,tamTargetSwitch Smooth
Hash:,ebaed4d804f7bb0b1fa3961826398e1f
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:58:12.660
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,149.775818
Resolution Scale:,100.0
