Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:54:47.084,voxTS_Visc_V_1 Bot,LG,0.654000s,75,20,0.266667,100.000000,375.000000,0.266667,0,25
2,16:54:47.596,voxTS_Visc_V_1 Bot,LG,0.249000s,26,20,0.769231,100.000000,130.000000,0.769231,0,25
3,16:54:48.301,voxTS_Visc_V_2 Bot,LG,0.449000s,46,20,0.434783,100.000000,230.000000,0.434783,0,25
4,16:54:48.922,voxTS_Visc_V_1 Bot,LG,0.360000s,37,20,0.540541,100.000000,185.000000,0.540541,0,25
5,16:54:49.354,voxTS_Visc_V_3 Bot,LG,0.201000s,21,20,0.952381,100.000000,105.000000,0.952381,0,21
6,16:54:50.464,voxTS_Visc_V_2 Bot,LG,0.856000s,87,30,0.344828,150.000000,435.000000,0.344828,0,25
7,16:54:50.825,voxTS_Visc_V_1 Bot,LG,0.104000s,11,10,0.909091,50.000000,55.000000,0.909091,0,25
8,16:54:51.533,voxTS_Visc_V_3 Bot,LG,0.450000s,46,20,0.434783,100.000000,230.000000,0.434783,0,25
9,16:54:52.294,voxTS_Visc_V_2 Bot,LG,0.499000s,51,20,0.392157,100.000000,255.000000,0.392157,0,25
10,16:54:52.966,voxTS_Visc_V_2 Bot,LG,0.414000s,42,20,0.476190,100.000000,210.000000,0.476190,0,25
11,16:54:53.546,voxTS_Visc_V_3 Bot,LG,0.322000s,33,20,0.606061,100.000000,165.000000,0.606061,0,25
12,16:54:54.185,voxTS_Visc_V_3 Bot,LG,0.378000s,39,20,0.512821,100.000000,195.000000,0.512821,0,25
13,16:54:54.856,voxTS_Visc_V_4 Bot,LG,0.413000s,42,20,0.476190,100.000000,210.000000,0.476190,0,25
14,16:54:55.453,voxTS_Visc_V_1 Bot,LG,0.340000s,35,20,0.571429,100.000000,175.000000,0.571429,0,25
15,16:54:56.126,voxTS_Visc_V_5 Bot,LG,0.407000s,42,20,0.476190,100.000000,210.000000,0.476190,0,25
16,16:54:56.743,voxTS_Visc_V_4 Bot,LG,0.359000s,37,20,0.540541,100.000000,185.000000,0.540541,0,25
17,16:54:57.476,voxTS_Visc_V_6 Bot,LG,0.469000s,48,20,0.416667,100.000000,240.000000,0.416667,0,25
18,16:54:58.114,voxTS_Visc_V_5 Bot,LG,0.381000s,39,20,0.512821,100.000000,195.000000,0.512821,0,25
19,16:54:59.009,voxTS_Visc_V_4 Bot,LG,0.634000s,64,20,0.312500,100.000000,320.000000,0.312500,0,25
20,16:54:59.543,voxTS_Visc_V_2 Bot,LG,0.320000s,33,20,0.606061,100.000000,165.000000,0.606061,0,20
21,16:55:00.104,voxTS_Visc_V_4 Bot,LG,0.308000s,32,20,0.625000,100.000000,160.000000,0.625000,0,25
22,16:55:01.073,voxTS_Visc_V_5 Bot,LG,0.712000s,72,20,0.277778,100.000000,360.000000,0.277778,0,25
23,16:55:01.644,voxTS_Visc_V_3 Bot,LG,0.307000s,32,20,0.625000,100.000000,160.000000,0.625000,0,25
24,16:55:02.303,voxTS_Visc_V_5 Bot,LG,0.418000s,43,20,0.465116,100.000000,215.000000,0.465116,0,22
25,16:55:02.521,voxTS_Visc_V_6 Bot,LG,0.208000s,22,22,1.000000,110.000000,110.000000,1.000000,0,0
26,16:55:02.942,voxTS_Visc_V_6 Bot,LG,0.168000s,18,18,1.000000,90.000000,90.000000,1.000000,0,25
27,16:55:03.804,voxTS_Visc_V_7 Bot,LG,0.601000s,61,20,0.327869,100.000000,305.000000,0.327869,0,25
28,16:55:04.283,voxTS_Visc_V_6 Bot,LG,0.224000s,23,20,0.869565,100.000000,115.000000,0.869565,0,24
29,16:55:05.105,voxTS_Visc_V_8 Bot,LG,0.569000s,58,20,0.344828,100.000000,290.000000,0.344828,0,25
30,16:55:05.808,voxTS_Visc_V_7 Bot,LG,0.444000s,45,20,0.444444,100.000000,225.000000,0.444444,0,25
31,16:55:06.445,voxTS_Visc_V_4 Bot,LG,0.380000s,39,20,0.512821,100.000000,195.000000,0.512821,0,25
32,16:55:07.003,voxTS_Visc_V_7 Bot,LG,0.299000s,31,20,0.645161,100.000000,155.000000,0.645161,0,25
33,16:55:07.703,voxTS_Visc_V_5 Bot,LG,0.438000s,45,20,0.444444,100.000000,225.000000,0.444444,0,25
34,16:55:08.533,voxTS_Visc_V_8 Bot,LG,0.645000s,66,20,0.303030,100.000000,330.000000,0.303030,0,16
35,16:55:09.053,voxTS_Visc_V_8 Bot,LG,0.268000s,28,20,0.714286,100.000000,140.000000,0.714286,0,25
36,16:55:09.704,voxTS_Visc_V_6 Bot,LG,0.387000s,40,20,0.500000,100.000000,200.000000,0.500000,0,25
37,16:55:10.322,voxTS_Visc_V_9 Bot,LG,0.361000s,37,20,0.540541,100.000000,185.000000,0.540541,0,25
38,16:55:10.794,voxTS_Visc_V_9 Bot,LG,0.211000s,22,20,0.909091,100.000000,110.000000,0.909091,0,25
39,16:55:11.351,voxTS_Visc_V_9 Bot,LG,0.358000s,37,20,0.540541,100.000000,185.000000,0.540541,0,18
40,16:55:11.843,voxTS_Visc_V_10 Bot,LG,0.240000s,25,20,0.800000,100.000000,125.000000,0.800000,0,25
41,16:55:12.475,voxTS_Visc_V_7 Bot,LG,0.372000s,38,20,0.526316,100.000000,190.000000,0.526316,0,25
42,16:55:13.403,voxTS_Visc_V_7 Bot,LG,0.752000s,76,20,0.263158,100.000000,380.000000,0.263158,0,16
43,16:55:13.844,voxTS_Visc_V_10 Bot,LG,0.190000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
44,16:55:14.371,voxTS_Visc_V_10 Bot,LG,0.272000s,28,20,0.714286,100.000000,140.000000,0.714286,0,25
