Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:33:19.338,Quaker Bot Long Strafes,LG,0.294000s,31,20,0.645161,100.000000,155.000000,0.645161,0,25
2,22:33:20.141,Quaker Bot Long Strafes,LG,0.537000s,53,20,0.377358,100.000000,265.000000,0.377358,0,25
3,22:33:21.060,Quaker Bot Long Strafes,LG,0.659000s,67,20,0.298507,100.000000,335.000000,0.298507,0,25
4,22:33:21.637,Quaker Bot Long Strafes,LG,0.317000s,33,20,0.606061,100.000000,165.000000,0.606061,0,25
5,22:33:22.610,Quaker Bot Long Strafes,LG,0.715000s,72,20,0.277778,100.000000,360.000000,0.277778,0,25
6,22:33:24.168,Quaker Bot Long Strafes,LG,1.298000s,131,38,0.290076,190.000000,655.000000,0.290076,0,25
7,22:33:24.676,Quaker Bot Long Strafes,LG,0.253000s,26,2,0.076923,10.000000,130.000000,0.076923,0,25
8,22:33:25.406,Quaker Bot Long Strafes,LG,0.472000s,48,20,0.416667,100.000000,240.000000,0.416667,0,25
9,22:33:26.099,Quaker Bot Long Strafes,LG,0.429000s,44,20,0.454545,100.000000,220.000000,0.454545,0,25
10,22:33:26.712,Quaker Bot Long Strafes,LG,0.354000s,36,20,0.555556,100.000000,180.000000,0.555556,0,25
11,22:33:27.457,Quaker Bot Long Strafes,LG,0.487000s,50,20,0.400000,100.000000,250.000000,0.400000,0,25
12,22:33:28.140,Quaker Bot Long Strafes,LG,0.422000s,43,20,0.465116,100.000000,215.000000,0.465116,0,25
13,22:33:28.711,Quaker Bot Long Strafes,LG,0.311000s,32,20,0.625000,100.000000,160.000000,0.625000,0,25
14,22:33:29.189,Quaker Bot Long Strafes,LG,0.220000s,23,20,0.869565,100.000000,115.000000,0.869565,0,25
15,22:33:29.731,Quaker Bot Long Strafes,LG,0.282000s,29,20,0.689655,100.000000,145.000000,0.689655,0,25
16,22:33:30.527,Quaker Bot Long Strafes,LG,0.540000s,55,20,0.363636,100.000000,275.000000,0.363636,0,25
17,22:33:31.446,Quaker Bot Long Strafes,LG,0.659000s,67,20,0.298507,100.000000,335.000000,0.298507,0,25
18,22:33:32.628,Quaker Bot Long Strafes,LG,0.920000s,93,20,0.215054,100.000000,465.000000,0.215054,0,25
19,22:33:33.128,Quaker Bot Long Strafes,LG,0.241000s,25,20,0.800000,100.000000,125.000000,0.800000,0,25
20,22:33:33.639,Quaker Bot Long Strafes,LG,0.250000s,26,20,0.769231,100.000000,130.000000,0.769231,0,25
21,22:33:34.518,Quaker Bot Long Strafes,LG,0.619000s,63,20,0.317460,100.000000,315.000000,0.317460,0,25
22,22:33:35.217,Quaker Bot Long Strafes,LG,0.440000s,45,20,0.444444,100.000000,225.000000,0.444444,0,25
23,22:33:35.976,Quaker Bot Long Strafes,LG,0.496000s,51,20,0.392157,100.000000,255.000000,0.392157,0,25
24,22:33:36.745,Quaker Bot Long Strafes,LG,0.506000s,52,20,0.384615,100.000000,260.000000,0.384615,0,25
25,22:33:38.306,Quaker Bot Long Strafes,LG,1.300000s,131,36,0.274809,180.000000,655.000000,0.274809,0,25
26,22:33:38.597,Quaker Bot Long Strafes,LG,0.028000s,4,4,1.000000,20.000000,20.000000,1.000000,0,25
27,22:33:40.128,Quaker Bot Long Strafes,LG,1.272000s,128,20,0.156250,100.000000,640.000000,0.156250,0,25
28,22:33:40.862,Quaker Bot Long Strafes,LG,0.473000s,48,20,0.416667,100.000000,240.000000,0.416667,0,25
29,22:33:41.989,Quaker Bot Long Strafes,LG,0.871000s,88,20,0.227273,100.000000,440.000000,0.227273,0,25
30,22:33:42.569,Quaker Bot Long Strafes,LG,0.322000s,33,20,0.606061,100.000000,165.000000,0.606061,0,25
31,22:33:43.147,Quaker Bot Long Strafes,LG,0.353000s,36,20,0.555556,100.000000,180.000000,0.555556,0,21
32,22:33:43.691,Quaker Bot Long Strafes,LG,0.539000s,55,22,0.400000,110.000000,275.000000,0.400000,0,0
33,22:33:44.316,Quaker Bot Long Strafes,LG,0.372000s,38,18,0.473684,90.000000,190.000000,0.473684,0,25
34,22:33:45.318,Quaker Bot Long Strafes,LG,0.738000s,75,20,0.266667,100.000000,375.000000,0.266667,0,25
35,22:33:46.438,Quaker Bot Long Strafes,LG,0.859000s,87,20,0.229885,100.000000,435.000000,0.229885,0,25
36,22:33:47.622,Quaker Bot Long Strafes,LG,0.921000s,93,20,0.215054,100.000000,465.000000,0.215054,0,25
37,22:33:48.449,Quaker Bot Long Strafes,LG,0.568000s,58,20,0.344828,100.000000,290.000000,0.344828,0,25
38,22:33:49.048,Quaker Bot Long Strafes,LG,0.340000s,35,20,0.571429,100.000000,175.000000,0.571429,0,25
39,22:33:49.538,Quaker Bot Long Strafes,LG,0.232000s,24,20,0.833333,100.000000,120.000000,0.833333,0,25
40,22:33:50.330,Quaker Bot Long Strafes,LG,0.530000s,54,20,0.370370,100.000000,270.000000,0.370370,0,25
41,22:33:50.844,Quaker Bot Long Strafes,LG,0.259000s,27,20,0.740741,100.000000,135.000000,0.740741,0,25
42,22:33:51.386,Quaker Bot Long Strafes,LG,0.279000s,29,20,0.689655,100.000000,145.000000,0.689655,0,25
43,22:33:52.237,Quaker Bot Long Strafes,LG,0.590000s,60,20,0.333333,100.000000,300.000000,0.333333,0,25
44,22:33:53.088,Quaker Bot Long Strafes,LG,0.589000s,60,20,0.333333,100.000000,300.000000,0.333333,0,25
45,22:33:54.096,Quaker Bot Long Strafes,LG,0.750000s,76,20,0.263158,100.000000,380.000000,0.263158,0,25
46,22:33:54.627,Quaker Bot Long Strafes,LG,0.268000s,28,20,0.714286,100.000000,140.000000,0.714286,0,25
47,22:33:55.655,Quaker Bot Long Strafes,LG,0.771000s,78,20,0.256410,100.000000,390.000000,0.256410,0,25
48,22:33:56.490,Quaker Bot Long Strafes,LG,0.570000s,58,20,0.344828,100.000000,290.000000,0.344828,0,25
49,22:33:57.192,Quaker Bot Long Strafes,LG,0.519000s,53,20,0.377358,100.000000,265.000000,0.377358,0,17
50,22:33:57.637,Quaker Bot Long Strafes,LG,0.193000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
51,22:33:59.284,Quaker Bot Long Strafes,LG,1.391000s,140,20,0.142857,100.000000,700.000000,0.142857,0,25
52,22:34:00.089,Quaker Bot Long Strafes,LG,0.538000s,55,20,0.363636,100.000000,275.000000,0.363636,0,25
53,22:34:00.809,Quaker Bot Long Strafes,LG,0.462000s,47,20,0.425532,100.000000,235.000000,0.425532,0,25
54,22:34:01.718,Quaker Bot Long Strafes,LG,0.651000s,66,20,0.303030,100.000000,330.000000,0.303030,0,25
55,22:34:02.328,Quaker Bot Long Strafes,LG,0.351000s,36,20,0.555556,100.000000,180.000000,0.555556,0,25
56,22:34:03.068,Quaker Bot Long Strafes,LG,0.479000s,49,20,0.408163,100.000000,245.000000,0.408163,0,25
57,22:34:04.176,Quaker Bot Long Strafes,LG,0.853000s,86,20,0.232558,100.000000,430.000000,0.232558,0,25
58,22:34:05.010,Quaker Bot Long Strafes,LG,0.589000s,60,20,0.333333,100.000000,300.000000,0.333333,0,23
59,22:34:06.173,Quaker Bot Long Strafes,LG,0.507000s,52,20,0.384615,100.000000,260.000000,0.384615,0,22
60,22:34:07.375,Quaker Bot Long Strafes,LG,0.426000s,44,20,0.454545,100.000000,220.000000,0.454545,0,25
61,22:34:07.846,Quaker Bot Long Strafes,LG,0.212000s,22,20,0.909091,100.000000,110.000000,0.909091,0,25
62,22:34:09.298,Quaker Bot Long Strafes,LG,0.485000s,50,20,0.400000,100.000000,250.000000,0.400000,0,25
63,22:34:09.940,Quaker Bot Long Strafes,LG,0.385000s,39,20,0.512821,100.000000,195.000000,0.512821,0,25
