Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:47:31.309,Quaker Bot Long Strafes,LG,0.617000s,67,10,0.149254,100.000000,670.000000,0.149254,0,25
2,16:47:32.093,Quaker Bot Long Strafes,LG,0.525000s,54,10,0.185185,100.000000,540.000000,0.185185,0,25
3,16:47:32.695,Quaker Bot Long Strafes,LG,0.340000s,35,10,0.285714,100.000000,350.000000,0.285714,0,25
4,16:47:33.193,Quaker Bot Long Strafes,LG,0.243000s,25,10,0.400000,100.000000,250.000000,0.400000,0,25
5,16:47:33.587,Quaker Bot Long Strafes,LG,0.129000s,14,10,0.714286,100.000000,140.000000,0.714286,0,25
6,16:47:34.083,Quaker Bot Long Strafes,LG,0.240000s,25,10,0.400000,100.000000,250.000000,0.400000,0,25
7,16:47:34.975,Quaker Bot Long Strafes,LG,0.629000s,64,10,0.156250,100.000000,640.000000,0.156250,0,25
8,16:47:35.842,Quaker Bot Long Strafes,LG,0.642000s,65,10,0.153846,100.000000,650.000000,0.153846,0,21
9,16:47:36.179,Quaker Bot Long Strafes,LG,0.086000s,10,10,1.000000,100.000000,100.000000,1.000000,0,25
10,16:47:36.875,Quaker Bot Long Strafes,LG,0.433000s,44,10,0.227273,100.000000,440.000000,0.227273,0,25
11,16:47:37.328,Quaker Bot Long Strafes,LG,0.194000s,20,10,0.500000,100.000000,200.000000,0.500000,0,25
12,16:47:37.968,Quaker Bot Long Strafes,LG,0.380000s,39,10,0.256410,100.000000,390.000000,0.256410,0,25
13,16:47:38.646,Quaker Bot Long Strafes,LG,0.418000s,43,10,0.232558,100.000000,430.000000,0.232558,0,25
14,16:47:39.556,Quaker Bot Long Strafes,LG,0.652000s,66,10,0.151515,100.000000,660.000000,0.151515,0,25
15,16:47:40.051,Quaker Bot Long Strafes,LG,0.238000s,25,10,0.400000,100.000000,250.000000,0.400000,0,25
16,16:47:40.626,Quaker Bot Long Strafes,LG,0.311000s,32,10,0.312500,100.000000,320.000000,0.312500,0,25
17,16:47:41.661,Quaker Bot Long Strafes,LG,0.779000s,79,10,0.126582,100.000000,790.000000,0.126582,0,25
18,16:47:42.404,Quaker Bot Long Strafes,LG,0.479000s,49,10,0.204082,100.000000,490.000000,0.204082,0,25
19,16:47:42.899,Quaker Bot Long Strafes,LG,0.235000s,25,10,0.400000,100.000000,250.000000,0.400000,0,25
20,16:47:43.705,Quaker Bot Long Strafes,LG,0.541000s,55,10,0.181818,100.000000,550.000000,0.181818,0,25
21,16:47:44.441,Quaker Bot Long Strafes,LG,0.490000s,50,10,0.200000,100.000000,500.000000,0.200000,0,23
22,16:47:44.810,Quaker Bot Long Strafes,LG,0.227000s,24,10,0.416667,100.000000,240.000000,0.416667,0,13
23,16:47:45.156,Quaker Bot Long Strafes,LG,0.090000s,10,10,1.000000,100.000000,100.000000,1.000000,0,25
24,16:47:45.773,Quaker Bot Long Strafes,LG,0.359000s,37,10,0.270270,100.000000,370.000000,0.270270,0,25
25,16:47:46.346,Quaker Bot Long Strafes,LG,0.310000s,32,10,0.312500,100.000000,320.000000,0.312500,0,25
26,16:47:47.114,Quaker Bot Long Strafes,LG,0.511000s,52,10,0.192308,100.000000,520.000000,0.192308,0,25
27,16:47:47.554,Quaker Bot Long Strafes,LG,0.181000s,19,10,0.526316,100.000000,190.000000,0.526316,0,25
