Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,00:14:37.053,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
2,00:14:37.533,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
3,00:14:38.030,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
4,00:14:38.503,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
5,00:14:38.993,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
6,00:14:39.501,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
7,00:14:40.095,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
8,00:14:40.729,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
9,00:14:41.126,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
10,00:14:41.704,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
11,00:14:42.238,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
12,00:14:42.713,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
13,00:14:43.212,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
14,00:14:43.624,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
15,00:14:44.196,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
16,00:14:44.679,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
17,00:14:45.267,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
18,00:14:45.651,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
19,00:14:46.171,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
20,00:14:46.678,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
21,00:14:47.170,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
22,00:14:47.682,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
23,00:14:48.718,target,pistol,0.659000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
24,00:14:49.263,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
25,00:14:49.788,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
26,00:14:50.279,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
27,00:14:50.750,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
28,00:14:51.303,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
29,00:14:51.839,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
30,00:14:52.377,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
31,00:14:52.951,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
32,00:14:53.473,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
33,00:14:53.956,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
34,00:14:54.451,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
35,00:14:54.960,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
36,00:14:55.484,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
37,00:14:56.041,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
38,00:14:56.541,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
39,00:14:57.016,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
40,00:14:57.968,target,pistol,0.488000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
41,00:14:58.666,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
42,00:14:59.173,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
43,00:14:59.733,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
44,00:15:00.170,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
45,00:15:00.654,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
46,00:15:01.212,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
47,00:15:01.799,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
48,00:15:02.316,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
49,00:15:02.758,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
50,00:15:03.286,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
51,00:15:03.719,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
52,00:15:04.195,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
