Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,21:12:44.140,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
2,21:12:44.907,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
3,21:12:45.777,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
4,21:12:46.518,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
5,21:12:47.309,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
6,21:12:48.007,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
7,21:12:48.936,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
8,21:12:49.757,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
9,21:12:50.825,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
10,21:12:51.510,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
11,21:12:53.229,target,pistol,0.803000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
12,21:12:53.895,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
13,21:12:54.676,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
14,21:12:55.381,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
15,21:12:56.235,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
16,21:12:57.020,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
17,21:12:57.802,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
18,21:12:58.647,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
19,21:12:59.438,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
20,21:13:00.203,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
21,21:13:00.972,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
22,21:13:01.699,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
23,21:13:02.382,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
24,21:13:03.015,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
25,21:13:03.731,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
26,21:13:04.485,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
27,21:13:05.181,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
28,21:13:05.985,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
29,21:13:06.768,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
30,21:13:07.672,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
